index	prediction
0	entailment
1	not_entailment
2	not_entailment
3	not_entailment
4	not_entailment
5	entailment
6	not_entailment
7	entailment
8	not_entailment
9	not_entailment
10	not_entailment
11	entailment
12	entailment
13	not_entailment
14	entailment
15	entailment
16	entailment
17	entailment
18	not_entailment
19	not_entailment
20	entailment
21	not_entailment
22	not_entailment
23	not_entailment
24	not_entailment
25	entailment
26	not_entailment
27	not_entailment
28	not_entailment
29	entailment
30	not_entailment
31	entailment
32	entailment
33	entailment
34	not_entailment
35	entailment
36	entailment
37	entailment
38	not_entailment
39	entailment
40	entailment
41	entailment
42	entailment
43	entailment
44	entailment
45	entailment
46	entailment
47	not_entailment
48	not_entailment
49	not_entailment
50	not_entailment
51	entailment
52	entailment
53	not_entailment
54	entailment
55	entailment
56	entailment
57	entailment
58	entailment
59	entailment
60	entailment
61	not_entailment
62	entailment
63	entailment
64	not_entailment
65	entailment
66	not_entailment
67	not_entailment
68	entailment
69	not_entailment
70	not_entailment
71	not_entailment
72	entailment
73	entailment
74	entailment
75	not_entailment
76	not_entailment
77	entailment
78	entailment
79	not_entailment
80	entailment
81	entailment
82	not_entailment
83	not_entailment
84	entailment
85	not_entailment
86	not_entailment
87	entailment
88	not_entailment
89	entailment
90	entailment
91	entailment
92	not_entailment
93	not_entailment
94	entailment
95	entailment
96	not_entailment
97	entailment
98	not_entailment
99	not_entailment
100	entailment
101	entailment
102	not_entailment
103	not_entailment
104	entailment
105	not_entailment
106	entailment
107	not_entailment
108	not_entailment
109	entailment
110	entailment
111	entailment
112	entailment
113	not_entailment
114	entailment
115	not_entailment
116	entailment
117	entailment
118	entailment
119	not_entailment
120	entailment
121	not_entailment
122	entailment
123	not_entailment
124	not_entailment
125	entailment
126	entailment
127	entailment
128	entailment
129	not_entailment
130	not_entailment
131	not_entailment
132	not_entailment
133	entailment
134	entailment
135	not_entailment
136	not_entailment
137	entailment
138	not_entailment
139	entailment
140	entailment
141	entailment
142	not_entailment
143	entailment
144	not_entailment
145	entailment
146	not_entailment
147	entailment
148	not_entailment
149	entailment
150	entailment
151	entailment
152	not_entailment
153	not_entailment
154	not_entailment
155	entailment
156	not_entailment
157	not_entailment
158	entailment
159	not_entailment
160	not_entailment
161	entailment
162	entailment
163	entailment
164	not_entailment
165	not_entailment
166	not_entailment
167	entailment
168	not_entailment
169	not_entailment
170	not_entailment
171	not_entailment
172	not_entailment
173	not_entailment
174	not_entailment
175	not_entailment
176	not_entailment
177	entailment
178	not_entailment
179	not_entailment
180	entailment
181	not_entailment
182	entailment
183	entailment
184	not_entailment
185	not_entailment
186	not_entailment
187	entailment
188	entailment
189	not_entailment
190	entailment
191	not_entailment
192	not_entailment
193	entailment
194	not_entailment
195	entailment
196	not_entailment
197	not_entailment
198	not_entailment
199	not_entailment
200	entailment
201	entailment
202	not_entailment
203	entailment
204	entailment
205	not_entailment
206	entailment
207	entailment
208	entailment
209	not_entailment
210	entailment
211	entailment
212	entailment
213	entailment
214	not_entailment
215	entailment
216	entailment
217	entailment
218	entailment
219	entailment
220	entailment
221	entailment
222	entailment
223	entailment
224	entailment
225	entailment
226	entailment
227	not_entailment
228	not_entailment
229	entailment
230	entailment
231	entailment
232	not_entailment
233	not_entailment
234	not_entailment
235	entailment
236	entailment
237	not_entailment
238	entailment
239	entailment
240	entailment
241	entailment
242	not_entailment
243	entailment
244	entailment
245	not_entailment
246	not_entailment
247	entailment
248	not_entailment
249	not_entailment
250	not_entailment
251	entailment
252	entailment
253	not_entailment
254	entailment
255	entailment
256	not_entailment
257	entailment
258	entailment
259	entailment
260	not_entailment
261	not_entailment
262	entailment
263	entailment
264	entailment
265	entailment
266	entailment
267	entailment
268	entailment
269	entailment
270	not_entailment
271	entailment
272	not_entailment
273	entailment
274	entailment
275	not_entailment
276	not_entailment
277	entailment
278	entailment
279	entailment
280	entailment
281	not_entailment
282	entailment
283	entailment
284	entailment
285	entailment
286	not_entailment
287	entailment
288	not_entailment
289	entailment
290	entailment
291	not_entailment
292	not_entailment
293	not_entailment
294	not_entailment
295	entailment
296	not_entailment
297	not_entailment
298	entailment
299	entailment
300	not_entailment
301	entailment
302	entailment
303	not_entailment
304	not_entailment
305	entailment
306	entailment
307	entailment
308	not_entailment
309	not_entailment
310	not_entailment
311	entailment
312	entailment
313	entailment
314	entailment
315	not_entailment
316	entailment
317	entailment
318	entailment
319	entailment
320	entailment
321	entailment
322	entailment
323	entailment
324	entailment
325	entailment
326	entailment
327	entailment
328	entailment
329	entailment
330	entailment
331	entailment
332	not_entailment
333	entailment
334	entailment
335	not_entailment
336	entailment
337	entailment
338	entailment
339	not_entailment
340	entailment
341	not_entailment
342	entailment
343	not_entailment
344	entailment
345	entailment
346	entailment
347	not_entailment
348	entailment
349	entailment
350	entailment
351	entailment
352	not_entailment
353	entailment
354	not_entailment
355	not_entailment
356	not_entailment
357	entailment
358	entailment
359	entailment
360	entailment
361	entailment
362	entailment
363	not_entailment
364	not_entailment
365	entailment
366	entailment
367	not_entailment
368	entailment
369	entailment
370	not_entailment
371	entailment
372	entailment
373	entailment
374	entailment
375	not_entailment
376	entailment
377	entailment
378	not_entailment
379	entailment
380	entailment
381	not_entailment
382	not_entailment
383	entailment
384	entailment
385	not_entailment
386	not_entailment
387	entailment
388	entailment
389	not_entailment
390	entailment
391	entailment
392	entailment
393	not_entailment
394	not_entailment
395	entailment
396	entailment
397	entailment
398	not_entailment
399	not_entailment
400	not_entailment
401	entailment
402	not_entailment
403	not_entailment
404	not_entailment
405	entailment
406	not_entailment
407	entailment
408	entailment
409	not_entailment
410	entailment
411	entailment
412	not_entailment
413	entailment
414	entailment
415	not_entailment
416	entailment
417	entailment
418	not_entailment
419	entailment
420	not_entailment
421	entailment
422	entailment
423	not_entailment
424	not_entailment
425	not_entailment
426	not_entailment
427	entailment
428	entailment
429	not_entailment
430	entailment
431	entailment
432	entailment
433	entailment
434	entailment
435	entailment
436	not_entailment
437	entailment
438	entailment
