index	prediction
0	contradiction
1	entailment
2	neutral
3	entailment
4	neutral
5	entailment
6	entailment
7	neutral
8	neutral
9	entailment
10	neutral
11	entailment
12	contradiction
13	entailment
14	contradiction
15	neutral
16	neutral
17	entailment
18	entailment
19	entailment
20	contradiction
21	contradiction
22	entailment
23	contradiction
24	neutral
25	neutral
26	neutral
27	neutral
28	entailment
29	entailment
30	entailment
31	entailment
32	entailment
33	entailment
34	entailment
35	entailment
36	contradiction
37	contradiction
38	neutral
39	neutral
40	entailment
41	neutral
42	neutral
43	contradiction
44	entailment
45	entailment
46	neutral
47	neutral
48	entailment
49	entailment
50	entailment
51	entailment
52	entailment
53	neutral
54	entailment
55	entailment
56	entailment
57	entailment
58	neutral
59	entailment
60	neutral
61	entailment
62	neutral
63	entailment
64	neutral
65	neutral
66	entailment
67	entailment
68	contradiction
69	neutral
70	neutral
71	neutral
72	entailment
73	entailment
74	entailment
75	entailment
76	entailment
77	entailment
78	entailment
79	entailment
80	neutral
81	entailment
82	entailment
83	entailment
84	entailment
85	entailment
86	entailment
87	entailment
88	entailment
89	entailment
90	neutral
91	entailment
92	entailment
93	entailment
94	entailment
95	neutral
96	entailment
97	entailment
98	entailment
99	entailment
100	entailment
101	entailment
102	entailment
103	entailment
104	entailment
105	entailment
106	entailment
107	entailment
108	entailment
109	entailment
110	entailment
111	entailment
112	neutral
113	entailment
114	entailment
115	entailment
116	entailment
117	entailment
118	contradiction
119	entailment
120	entailment
121	entailment
122	entailment
123	entailment
124	entailment
125	entailment
126	entailment
127	entailment
128	entailment
129	neutral
130	contradiction
131	neutral
132	entailment
133	neutral
134	entailment
135	entailment
136	entailment
137	entailment
138	entailment
139	entailment
140	entailment
141	entailment
142	entailment
143	entailment
144	contradiction
145	neutral
146	neutral
147	neutral
148	contradiction
149	neutral
150	entailment
151	neutral
152	entailment
153	neutral
154	entailment
155	neutral
156	neutral
157	neutral
158	entailment
159	neutral
160	entailment
161	neutral
162	neutral
163	entailment
164	entailment
165	entailment
166	entailment
167	neutral
168	entailment
169	entailment
170	entailment
171	entailment
172	entailment
173	entailment
174	entailment
175	entailment
176	entailment
177	entailment
178	entailment
179	entailment
180	entailment
181	entailment
182	entailment
183	neutral
184	contradiction
185	entailment
186	neutral
187	contradiction
188	neutral
189	entailment
190	entailment
191	entailment
192	entailment
193	entailment
194	entailment
195	entailment
196	entailment
197	entailment
198	contradiction
199	neutral
200	entailment
201	neutral
202	entailment
203	entailment
204	neutral
205	contradiction
206	contradiction
207	entailment
208	entailment
209	entailment
210	entailment
211	entailment
212	contradiction
213	neutral
214	entailment
215	entailment
216	entailment
217	entailment
218	entailment
219	entailment
220	entailment
221	neutral
222	neutral
223	entailment
224	entailment
225	entailment
226	entailment
227	entailment
228	entailment
229	entailment
230	entailment
231	entailment
232	entailment
233	entailment
234	entailment
235	neutral
236	entailment
237	entailment
238	entailment
239	contradiction
240	entailment
241	entailment
242	entailment
243	neutral
244	entailment
245	entailment
246	entailment
247	neutral
248	entailment
249	neutral
250	entailment
251	neutral
252	entailment
253	neutral
254	entailment
255	entailment
256	entailment
257	neutral
258	entailment
259	neutral
260	contradiction
261	entailment
262	entailment
263	entailment
264	entailment
265	entailment
266	entailment
267	entailment
268	entailment
269	entailment
270	entailment
271	entailment
272	entailment
273	neutral
274	entailment
275	neutral
276	contradiction
277	neutral
278	entailment
279	contradiction
280	entailment
281	neutral
282	entailment
283	neutral
284	entailment
285	entailment
286	entailment
287	entailment
288	entailment
289	entailment
290	entailment
291	entailment
292	entailment
293	entailment
294	entailment
295	entailment
296	contradiction
297	neutral
298	neutral
299	contradiction
300	contradiction
301	contradiction
302	entailment
303	entailment
304	neutral
305	entailment
306	entailment
307	neutral
308	entailment
309	neutral
310	entailment
311	entailment
312	entailment
313	entailment
314	entailment
315	entailment
316	entailment
317	entailment
318	neutral
319	contradiction
320	neutral
321	entailment
322	contradiction
323	neutral
324	entailment
325	neutral
326	entailment
327	neutral
328	entailment
329	neutral
330	entailment
331	entailment
332	entailment
333	entailment
334	entailment
335	neutral
336	contradiction
337	neutral
338	contradiction
339	neutral
340	entailment
341	neutral
342	contradiction
343	entailment
344	entailment
345	neutral
346	entailment
347	neutral
348	entailment
349	neutral
350	entailment
351	neutral
352	entailment
353	neutral
354	entailment
355	entailment
356	contradiction
357	neutral
358	entailment
359	entailment
360	contradiction
361	neutral
362	entailment
363	neutral
364	contradiction
365	neutral
366	entailment
367	neutral
368	contradiction
369	neutral
370	entailment
371	entailment
372	contradiction
373	neutral
374	entailment
375	contradiction
376	contradiction
377	contradiction
378	contradiction
379	contradiction
380	entailment
381	entailment
382	contradiction
383	contradiction
384	contradiction
385	contradiction
386	neutral
387	contradiction
388	neutral
389	contradiction
390	entailment
391	neutral
392	contradiction
393	neutral
394	entailment
395	neutral
396	contradiction
397	neutral
398	entailment
399	neutral
400	entailment
401	neutral
402	entailment
403	entailment
404	contradiction
405	contradiction
406	entailment
407	neutral
408	entailment
409	neutral
410	entailment
411	entailment
412	entailment
413	entailment
414	entailment
415	entailment
416	entailment
417	entailment
418	entailment
419	entailment
420	entailment
421	entailment
422	entailment
423	entailment
424	entailment
425	entailment
426	contradiction
427	neutral
428	contradiction
429	neutral
430	contradiction
431	neutral
432	neutral
433	entailment
434	neutral
435	entailment
436	entailment
437	entailment
438	entailment
439	entailment
440	neutral
441	neutral
442	neutral
443	neutral
444	neutral
445	neutral
446	neutral
447	neutral
448	neutral
449	neutral
450	entailment
451	entailment
452	entailment
453	entailment
454	entailment
455	entailment
456	entailment
457	entailment
458	entailment
459	entailment
460	entailment
461	entailment
462	entailment
463	entailment
464	entailment
465	neutral
466	contradiction
467	entailment
468	entailment
469	entailment
470	entailment
471	entailment
472	neutral
473	entailment
474	entailment
475	entailment
476	neutral
477	neutral
478	entailment
479	neutral
480	entailment
481	entailment
482	entailment
483	entailment
484	entailment
485	entailment
486	entailment
487	entailment
488	entailment
489	entailment
490	neutral
491	neutral
492	neutral
493	neutral
494	entailment
495	entailment
496	entailment
497	entailment
498	entailment
499	entailment
500	entailment
501	entailment
502	entailment
503	neutral
504	entailment
505	neutral
506	neutral
507	neutral
508	entailment
509	neutral
510	entailment
511	neutral
512	entailment
513	entailment
514	entailment
515	contradiction
516	entailment
517	entailment
518	entailment
519	contradiction
520	entailment
521	entailment
522	entailment
523	neutral
524	entailment
525	entailment
526	entailment
527	entailment
528	entailment
529	neutral
530	entailment
531	neutral
532	entailment
533	neutral
534	entailment
535	entailment
536	entailment
537	entailment
538	entailment
539	entailment
540	entailment
541	entailment
542	entailment
543	neutral
544	entailment
545	neutral
546	entailment
547	entailment
548	entailment
549	entailment
550	entailment
551	entailment
552	entailment
553	entailment
554	entailment
555	neutral
556	neutral
557	entailment
558	entailment
559	neutral
560	neutral
561	entailment
562	entailment
563	entailment
564	entailment
565	entailment
566	entailment
567	entailment
568	entailment
569	entailment
570	entailment
571	entailment
572	entailment
573	entailment
574	entailment
575	entailment
576	entailment
577	entailment
578	entailment
579	entailment
580	neutral
581	neutral
582	entailment
583	neutral
584	neutral
585	neutral
586	neutral
587	neutral
588	neutral
589	neutral
590	neutral
591	neutral
592	neutral
593	neutral
594	entailment
595	entailment
596	entailment
597	entailment
598	entailment
599	entailment
600	contradiction
601	contradiction
602	entailment
603	entailment
604	neutral
605	entailment
606	contradiction
607	neutral
608	entailment
609	neutral
610	entailment
611	neutral
612	entailment
613	contradiction
614	entailment
615	neutral
616	contradiction
617	entailment
618	entailment
619	entailment
620	contradiction
621	contradiction
622	contradiction
623	entailment
624	neutral
625	entailment
626	neutral
627	contradiction
628	contradiction
629	contradiction
630	entailment
631	entailment
632	entailment
633	entailment
634	entailment
635	entailment
636	entailment
637	entailment
638	neutral
639	entailment
640	neutral
641	entailment
642	neutral
643	neutral
644	entailment
645	neutral
646	neutral
647	contradiction
648	entailment
649	entailment
650	entailment
651	entailment
652	entailment
653	entailment
654	contradiction
655	contradiction
656	entailment
657	contradiction
658	entailment
659	entailment
660	entailment
661	entailment
662	entailment
663	entailment
664	entailment
665	neutral
666	entailment
667	contradiction
668	entailment
669	entailment
670	entailment
671	neutral
672	entailment
673	entailment
674	entailment
675	neutral
676	entailment
677	entailment
678	contradiction
679	contradiction
680	neutral
681	contradiction
682	entailment
683	neutral
684	entailment
685	neutral
686	neutral
687	entailment
688	neutral
689	entailment
690	entailment
691	neutral
692	entailment
693	neutral
694	entailment
695	entailment
696	neutral
697	entailment
698	neutral
699	entailment
700	neutral
701	entailment
702	entailment
703	entailment
704	entailment
705	entailment
706	contradiction
707	entailment
708	contradiction
709	neutral
710	contradiction
711	neutral
712	contradiction
713	neutral
714	entailment
715	entailment
716	entailment
717	entailment
718	entailment
719	entailment
720	entailment
721	entailment
722	entailment
723	neutral
724	neutral
725	neutral
726	neutral
727	neutral
728	entailment
729	entailment
730	entailment
731	entailment
732	entailment
733	entailment
734	entailment
735	entailment
736	entailment
737	entailment
738	entailment
739	entailment
740	entailment
741	entailment
742	entailment
743	entailment
744	entailment
745	neutral
746	neutral
747	entailment
748	entailment
749	entailment
750	entailment
751	entailment
752	entailment
