index	prediction
0	entailment
1	entailment
2	neutral
3	contradiction
4	contradiction
5	contradiction
6	neutral
7	entailment
8	entailment
9	contradiction
10	entailment
11	neutral
12	contradiction
13	neutral
14	entailment
15	neutral
16	entailment
17	contradiction
18	entailment
19	entailment
20	contradiction
21	entailment
22	contradiction
23	contradiction
24	entailment
25	entailment
26	entailment
27	contradiction
28	neutral
29	entailment
30	neutral
31	contradiction
32	neutral
33	contradiction
34	contradiction
35	contradiction
36	neutral
37	entailment
38	entailment
39	contradiction
40	neutral
41	contradiction
42	neutral
43	contradiction
44	neutral
45	entailment
46	contradiction
47	entailment
48	contradiction
49	entailment
50	entailment
51	neutral
52	entailment
53	neutral
54	neutral
55	neutral
56	neutral
57	entailment
58	entailment
59	neutral
60	contradiction
61	entailment
62	contradiction
63	entailment
64	contradiction
65	entailment
66	contradiction
67	entailment
68	neutral
69	neutral
70	neutral
71	entailment
72	neutral
73	contradiction
74	entailment
75	contradiction
76	contradiction
77	entailment
78	entailment
79	entailment
80	entailment
81	contradiction
82	neutral
83	entailment
84	contradiction
85	contradiction
86	contradiction
87	neutral
88	neutral
89	entailment
90	contradiction
91	neutral
92	entailment
93	entailment
94	contradiction
95	entailment
96	contradiction
97	neutral
98	contradiction
99	contradiction
100	entailment
101	neutral
102	entailment
103	entailment
104	contradiction
105	neutral
106	neutral
107	neutral
108	contradiction
109	entailment
110	entailment
111	entailment
112	neutral
113	entailment
114	entailment
115	contradiction
116	neutral
117	neutral
118	entailment
119	entailment
120	neutral
121	entailment
122	entailment
123	contradiction
124	neutral
125	entailment
126	entailment
127	neutral
128	contradiction
129	contradiction
130	entailment
131	entailment
132	entailment
133	neutral
134	neutral
135	entailment
136	neutral
137	contradiction
138	contradiction
139	contradiction
140	neutral
141	contradiction
142	entailment
143	entailment
144	contradiction
145	entailment
146	neutral
147	neutral
148	neutral
149	neutral
150	contradiction
151	entailment
152	entailment
153	entailment
154	neutral
155	contradiction
156	neutral
157	contradiction
158	entailment
159	contradiction
160	entailment
161	contradiction
162	entailment
163	neutral
164	neutral
165	entailment
166	neutral
167	contradiction
168	contradiction
169	contradiction
170	entailment
171	entailment
172	neutral
173	entailment
174	entailment
175	neutral
176	contradiction
177	entailment
178	entailment
179	neutral
180	entailment
181	entailment
182	contradiction
183	neutral
184	neutral
185	entailment
186	contradiction
187	entailment
188	contradiction
189	entailment
190	entailment
191	neutral
192	entailment
193	contradiction
194	neutral
195	entailment
196	contradiction
197	contradiction
198	entailment
199	neutral
200	neutral
201	entailment
202	contradiction
203	entailment
204	entailment
205	contradiction
206	contradiction
207	neutral
208	entailment
209	neutral
210	entailment
211	entailment
212	contradiction
213	entailment
214	entailment
215	entailment
216	entailment
217	contradiction
218	entailment
219	contradiction
220	entailment
221	entailment
222	contradiction
223	neutral
224	entailment
225	entailment
226	neutral
227	contradiction
228	entailment
229	contradiction
230	neutral
231	neutral
232	entailment
233	entailment
234	entailment
235	neutral
236	entailment
237	neutral
238	contradiction
239	contradiction
240	entailment
241	contradiction
242	neutral
243	entailment
244	neutral
245	neutral
246	entailment
247	neutral
248	entailment
249	neutral
250	neutral
251	contradiction
252	entailment
253	neutral
254	neutral
255	neutral
256	neutral
257	neutral
258	contradiction
259	contradiction
260	entailment
261	entailment
262	contradiction
263	contradiction
264	entailment
265	contradiction
266	neutral
267	neutral
268	entailment
269	neutral
270	entailment
271	entailment
272	contradiction
273	entailment
274	entailment
275	neutral
276	neutral
277	neutral
278	neutral
279	neutral
280	entailment
281	entailment
282	neutral
283	neutral
284	neutral
285	contradiction
286	contradiction
287	neutral
288	neutral
289	neutral
290	entailment
291	entailment
292	neutral
293	entailment
294	entailment
295	neutral
296	contradiction
297	entailment
298	neutral
299	entailment
300	neutral
301	neutral
302	entailment
303	contradiction
304	entailment
305	neutral
306	contradiction
307	contradiction
308	entailment
309	neutral
310	contradiction
311	neutral
312	entailment
313	contradiction
314	neutral
315	entailment
316	neutral
317	neutral
318	entailment
319	entailment
320	neutral
321	neutral
322	contradiction
323	entailment
324	entailment
325	contradiction
326	contradiction
327	neutral
328	entailment
329	entailment
330	neutral
331	entailment
332	entailment
333	neutral
334	entailment
335	neutral
336	neutral
337	entailment
338	contradiction
339	neutral
340	contradiction
341	contradiction
342	contradiction
343	contradiction
344	entailment
345	entailment
346	entailment
347	entailment
348	neutral
349	entailment
350	entailment
351	entailment
352	neutral
353	contradiction
354	contradiction
355	entailment
356	entailment
357	neutral
358	entailment
359	neutral
360	neutral
361	entailment
362	contradiction
363	contradiction
364	contradiction
365	entailment
366	neutral
367	entailment
368	entailment
369	neutral
370	entailment
371	entailment
372	contradiction
373	neutral
374	neutral
375	entailment
376	neutral
377	neutral
378	entailment
379	entailment
380	entailment
381	entailment
382	entailment
383	contradiction
384	neutral
385	neutral
386	entailment
387	contradiction
388	neutral
389	contradiction
390	entailment
391	entailment
392	contradiction
393	contradiction
394	contradiction
395	entailment
396	entailment
397	contradiction
398	neutral
399	entailment
400	entailment
401	neutral
402	contradiction
403	entailment
404	contradiction
405	entailment
406	neutral
407	entailment
408	neutral
409	entailment
410	neutral
411	contradiction
412	contradiction
413	entailment
414	neutral
415	neutral
416	entailment
417	neutral
418	contradiction
419	entailment
420	neutral
421	contradiction
422	entailment
423	entailment
424	contradiction
425	contradiction
426	neutral
427	entailment
428	neutral
429	contradiction
430	entailment
431	entailment
432	neutral
433	contradiction
434	entailment
435	entailment
436	contradiction
437	contradiction
438	entailment
439	entailment
440	neutral
441	neutral
442	contradiction
443	entailment
444	contradiction
445	contradiction
446	entailment
447	neutral
448	entailment
449	entailment
450	neutral
451	neutral
452	entailment
453	neutral
454	contradiction
455	neutral
456	neutral
457	entailment
458	contradiction
459	neutral
460	neutral
461	entailment
462	neutral
463	neutral
464	neutral
465	contradiction
466	neutral
467	entailment
468	entailment
469	entailment
470	neutral
471	entailment
472	neutral
473	neutral
474	neutral
475	entailment
476	neutral
477	entailment
478	neutral
479	neutral
480	entailment
481	neutral
482	contradiction
