index	prediction
0	1
1	1
2	1
3	0
4	0
5	1
6	1
7	0
8	0
9	1
10	0
11	0
12	0
13	0
14	1
15	1
16	1
17	1
18	1
19	0
20	1
21	1
22	1
23	1
24	0
25	0
26	0
27	1
28	1
29	0
30	1
31	1
32	1
33	0
34	1
35	1
36	1
37	1
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	1
47	0
48	0
49	1
50	0
51	0
52	1
53	1
54	1
55	1
56	0
57	1
58	0
59	1
60	0
61	1
62	0
63	0
64	1
65	1
66	1
67	1
68	1
69	0
70	1
71	0
72	1
73	1
74	0
75	1
76	0
77	0
78	0
79	0
80	0
81	0
82	1
83	1
84	0
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	0
106	0
107	0
108	1
109	1
110	0
111	0
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	0
120	1
121	1
122	0
123	0
124	0
125	1
126	0
127	1
128	1
129	1
130	0
131	0
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	0
141	1
142	0
143	1
144	1
145	1
146	1
147	0
148	1
149	1
150	1
151	1
152	1
153	0
154	1
155	0
156	0
157	0
158	1
159	1
160	1
161	1
162	1
163	1
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	0
179	1
180	1
181	1
182	1
183	1
184	0
185	1
186	1
187	1
188	0
189	0
190	1
191	1
192	0
193	0
194	1
195	1
196	1
197	1
198	0
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	0
214	1
215	0
216	0
217	1
218	1
219	0
220	1
221	0
222	1
223	1
224	1
225	1
226	0
227	0
228	0
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	0
237	1
238	1
239	1
240	1
241	1
242	1
243	0
244	0
245	1
246	1
247	1
248	0
249	1
250	0
251	1
252	0
253	1
254	1
255	1
256	1
257	0
258	0
259	1
260	1
261	0
262	1
263	1
264	0
265	0
266	1
267	1
268	1
269	1
270	0
271	0
272	0
273	1
274	1
275	1
276	1
277	1
278	0
279	0
280	1
281	1
282	1
283	1
284	0
285	0
286	0
287	0
288	1
289	1
290	1
291	0
292	0
293	1
294	1
295	1
296	1
297	1
298	1
299	0
300	1
301	0
302	1
303	1
304	1
305	1
306	0
307	1
308	1
309	1
310	1
311	0
312	1
313	1
314	1
315	0
316	1
317	0
318	1
319	0
320	1
321	1
322	1
323	1
324	0
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	0
346	1
347	1
348	1
349	0
350	1
351	0
352	1
353	0
354	1
355	1
356	1
357	1
358	1
359	1
360	0
361	0
362	1
363	1
364	1
365	0
366	1
367	1
368	1
369	0
370	1
371	0
372	1
373	1
374	1
375	0
376	1
377	0
378	1
379	1
380	1
381	1
382	1
383	1
384	1
385	1
386	0
387	1
388	1
389	1
390	1
391	1
392	1
393	1
394	1
395	0
396	1
397	1
398	1
399	1
400	0
401	1
402	1
403	1
404	1
405	1
406	1
407	1
408	1
409	1
410	0
411	1
412	1
413	0
414	1
415	0
416	1
417	0
418	1
419	1
420	0
421	1
422	1
423	1
424	0
425	1
426	1
427	1
428	0
429	1
430	1
431	0
432	1
433	1
434	1
435	0
436	1
437	1
438	1
439	1
440	1
441	1
442	1
443	0
444	0
445	1
446	0
447	1
448	1
449	0
450	0
451	1
452	1
453	1
454	1
455	1
456	0
457	1
458	1
459	1
460	1
461	1
462	1
463	0
464	0
465	0
466	0
467	1
468	1
469	1
470	1
471	0
472	0
473	0
474	1
475	0
476	0
477	0
478	1
479	0
480	0
481	1
482	1
483	1
484	0
485	1
486	1
487	0
488	0
489	1
490	1
491	0
492	1
493	1
494	1
495	1
496	1
497	1
498	1
499	1
500	1
501	1
502	1
503	1
504	1
505	1
506	0
507	1
508	1
509	1
510	1
511	0
512	1
513	1
514	1
515	1
516	1
517	0
518	1
519	1
520	0
521	1
522	1
523	1
524	0
525	1
526	1
527	1
528	1
529	1
530	1
531	1
532	0
533	1
534	1
535	1
536	1
537	1
538	1
539	1
540	1
541	1
542	1
543	1
544	1
545	0
546	1
547	1
548	0
549	0
550	0
551	1
552	1
553	0
554	1
555	1
556	1
557	1
558	0
559	1
560	1
561	0
562	0
563	0
564	0
565	1
566	1
567	1
568	1
569	1
570	1
571	1
572	1
573	1
574	1
575	1
576	0
577	0
578	0
579	0
580	1
581	0
582	1
583	1
584	0
585	1
586	1
587	1
588	1
589	1
590	1
591	1
592	1
593	1
594	0
595	1
596	1
597	0
598	0
599	1
600	1
601	1
602	1
603	1
604	0
605	1
606	1
607	1
608	1
609	1
610	0
611	0
612	1
613	0
614	0
615	0
616	1
617	0
618	1
619	1
620	1
621	0
622	0
623	1
624	1
625	1
626	1
627	1
628	1
629	1
630	1
631	1
632	1
633	0
634	1
635	1
636	1
637	0
638	1
639	1
640	1
641	1
642	1
643	1
644	0
645	1
646	1
647	0
648	0
649	0
650	0
651	1
652	1
653	1
654	1
655	1
656	1
657	1
658	0
659	0
660	0
661	0
662	0
663	1
664	1
665	1
666	0
667	1
668	1
669	1
670	1
671	1
672	1
673	1
674	1
675	1
676	1
677	1
678	1
679	1
680	1
681	1
682	1
683	1
684	0
685	0
686	1
687	0
688	0
689	1
690	1
691	1
692	1
693	1
694	1
695	0
696	1
697	1
698	1
699	0
700	0
701	1
702	1
703	1
704	0
705	1
706	1
707	0
708	0
709	0
710	1
711	1
712	0
713	1
714	1
715	0
716	0
717	0
718	0
719	0
720	1
721	1
722	0
723	0
724	0
725	0
726	0
727	0
728	1
729	1
730	0
731	1
732	1
733	1
734	0
735	0
736	0
737	1
738	1
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	1
747	1
748	1
749	0
750	0
751	0
752	0
753	0
754	0
755	0
756	0
757	1
758	1
759	1
760	1
761	1
762	1
763	1
764	1
765	1
766	1
767	1
768	1
769	1
770	1
771	0
772	1
773	1
774	0
775	1
776	1
777	1
778	1
779	1
780	1
781	1
782	1
783	1
784	1
785	1
786	0
787	1
788	1
789	1
790	1
791	1
792	1
793	1
794	1
795	0
796	0
797	1
798	0
799	0
800	1
801	1
802	1
803	1
804	1
805	1
806	0
807	1
808	0
809	1
810	1
811	1
