index	prediction
0	entailment
1	neutral
2	contradiction
3	neutral
4	contradiction
5	neutral
6	neutral
7	neutral
8	neutral
9	contradiction
10	entailment
11	entailment
12	entailment
13	contradiction
14	neutral
15	contradiction
16	contradiction
17	contradiction
18	contradiction
19	contradiction
20	entailment
21	neutral
22	contradiction
23	contradiction
24	neutral
25	contradiction
26	contradiction
27	contradiction
28	contradiction
29	entailment
30	neutral
31	entailment
32	contradiction
33	neutral
34	contradiction
35	contradiction
36	entailment
37	neutral
38	contradiction
39	neutral
40	neutral
41	entailment
42	neutral
43	contradiction
44	entailment
45	contradiction
46	neutral
47	neutral
48	entailment
49	contradiction
50	contradiction
51	neutral
52	neutral
53	neutral
54	entailment
55	contradiction
56	contradiction
57	neutral
58	entailment
59	contradiction
60	neutral
61	neutral
62	neutral
63	entailment
64	neutral
65	contradiction
66	neutral
67	entailment
68	contradiction
69	neutral
70	neutral
71	neutral
72	contradiction
73	neutral
74	contradiction
75	contradiction
76	contradiction
77	entailment
78	entailment
79	neutral
80	neutral
81	neutral
82	contradiction
83	neutral
84	contradiction
85	contradiction
86	neutral
87	neutral
88	contradiction
89	neutral
90	neutral
91	neutral
92	neutral
93	contradiction
94	neutral
95	contradiction
96	entailment
97	neutral
98	neutral
99	neutral
100	contradiction
101	contradiction
102	entailment
103	contradiction
104	entailment
105	neutral
106	contradiction
107	contradiction
108	neutral
109	neutral
110	neutral
111	contradiction
112	neutral
113	neutral
114	contradiction
115	neutral
116	neutral
117	contradiction
118	neutral
119	contradiction
120	contradiction
121	contradiction
122	contradiction
123	entailment
124	neutral
125	entailment
126	entailment
127	contradiction
128	contradiction
129	contradiction
130	contradiction
131	contradiction
132	neutral
133	entailment
134	entailment
135	entailment
136	entailment
137	neutral
138	neutral
139	contradiction
140	neutral
141	contradiction
142	neutral
143	neutral
144	contradiction
145	entailment
146	contradiction
147	entailment
148	entailment
149	contradiction
150	neutral
151	neutral
152	entailment
153	entailment
154	contradiction
155	contradiction
156	entailment
157	contradiction
158	contradiction
159	neutral
160	neutral
161	neutral
162	neutral
163	neutral
164	neutral
165	contradiction
166	contradiction
167	contradiction
168	contradiction
169	contradiction
170	contradiction
171	contradiction
172	contradiction
173	neutral
174	neutral
175	entailment
176	contradiction
177	contradiction
178	contradiction
179	entailment
180	contradiction
181	entailment
182	neutral
183	entailment
184	contradiction
185	contradiction
186	contradiction
187	entailment
188	neutral
189	entailment
190	entailment
191	neutral
192	neutral
193	contradiction
194	contradiction
195	contradiction
196	neutral
197	contradiction
198	neutral
199	neutral
200	contradiction
201	contradiction
202	contradiction
203	contradiction
204	contradiction
205	entailment
206	neutral
207	contradiction
208	contradiction
209	entailment
210	neutral
211	contradiction
212	neutral
213	contradiction
214	contradiction
215	neutral
216	neutral
217	contradiction
218	contradiction
219	neutral
220	neutral
221	entailment
222	contradiction
223	neutral
224	neutral
225	contradiction
226	contradiction
227	entailment
228	contradiction
229	neutral
230	contradiction
231	neutral
232	neutral
233	entailment
234	neutral
235	neutral
236	contradiction
237	neutral
238	contradiction
239	contradiction
240	entailment
241	neutral
242	contradiction
243	contradiction
244	contradiction
245	neutral
246	contradiction
247	entailment
248	neutral
249	neutral
250	neutral
251	contradiction
252	entailment
253	contradiction
254	contradiction
255	neutral
256	entailment
257	contradiction
258	neutral
259	entailment
260	entailment
261	contradiction
262	contradiction
263	entailment
264	contradiction
265	contradiction
266	neutral
267	neutral
268	entailment
269	neutral
270	contradiction
271	neutral
272	contradiction
273	neutral
274	entailment
275	contradiction
276	neutral
277	contradiction
278	contradiction
279	contradiction
280	contradiction
281	contradiction
282	contradiction
283	contradiction
284	contradiction
285	neutral
286	contradiction
287	contradiction
288	neutral
289	contradiction
290	entailment
291	contradiction
292	contradiction
293	neutral
294	contradiction
295	contradiction
296	contradiction
297	contradiction
298	entailment
299	contradiction
300	contradiction
301	entailment
302	neutral
303	contradiction
304	contradiction
305	contradiction
306	neutral
307	neutral
308	neutral
309	neutral
310	neutral
311	neutral
312	contradiction
313	neutral
314	entailment
315	entailment
316	entailment
317	contradiction
318	entailment
319	contradiction
320	neutral
321	contradiction
322	contradiction
323	contradiction
324	entailment
325	neutral
326	contradiction
327	entailment
328	contradiction
329	contradiction
330	neutral
331	contradiction
332	contradiction
333	neutral
334	contradiction
335	neutral
336	entailment
337	neutral
338	neutral
339	neutral
340	contradiction
341	neutral
342	contradiction
343	neutral
344	neutral
345	entailment
346	neutral
347	neutral
348	contradiction
349	neutral
350	contradiction
351	neutral
352	contradiction
353	neutral
354	neutral
355	contradiction
356	neutral
357	entailment
358	entailment
359	neutral
360	entailment
361	entailment
362	contradiction
363	contradiction
364	contradiction
365	contradiction
366	contradiction
367	neutral
368	entailment
369	entailment
370	neutral
371	neutral
372	contradiction
373	neutral
374	contradiction
375	neutral
376	contradiction
377	entailment
378	contradiction
379	contradiction
380	neutral
381	neutral
382	contradiction
383	contradiction
384	contradiction
385	contradiction
386	contradiction
387	neutral
388	neutral
389	contradiction
390	entailment
