index	prediction
0	entailment
1	neutral
2	neutral
3	neutral
4	entailment
5	contradiction
6	contradiction
7	neutral
8	contradiction
9	entailment
10	neutral
11	neutral
12	neutral
13	neutral
14	entailment
15	contradiction
16	neutral
17	contradiction
18	neutral
19	neutral
20	entailment
21	entailment
22	contradiction
23	neutral
24	neutral
25	entailment
26	contradiction
27	neutral
28	entailment
29	neutral
30	neutral
31	entailment
32	contradiction
33	contradiction
34	contradiction
35	contradiction
36	entailment
37	neutral
38	neutral
39	neutral
40	contradiction
41	neutral
42	neutral
43	neutral
44	contradiction
45	entailment
46	neutral
47	entailment
48	contradiction
49	entailment
50	contradiction
51	contradiction
52	contradiction
53	contradiction
54	neutral
55	neutral
56	contradiction
57	neutral
58	contradiction
59	contradiction
60	contradiction
61	entailment
62	neutral
63	contradiction
64	contradiction
65	entailment
66	entailment
67	neutral
68	contradiction
69	entailment
70	neutral
71	contradiction
72	entailment
73	entailment
74	contradiction
75	entailment
76	neutral
77	contradiction
78	contradiction
79	entailment
80	contradiction
81	neutral
82	neutral
83	contradiction
84	contradiction
85	contradiction
86	neutral
87	entailment
88	contradiction
89	contradiction
90	neutral
91	entailment
92	contradiction
93	neutral
94	entailment
95	contradiction
96	entailment
97	entailment
98	contradiction
99	contradiction
100	contradiction
101	neutral
102	neutral
103	entailment
104	neutral
105	neutral
106	neutral
107	contradiction
108	contradiction
109	entailment
110	neutral
111	neutral
112	entailment
113	neutral
114	neutral
115	contradiction
116	contradiction
117	contradiction
118	contradiction
119	entailment
120	contradiction
121	contradiction
122	contradiction
123	contradiction
124	contradiction
125	neutral
126	contradiction
127	contradiction
128	contradiction
129	contradiction
130	contradiction
131	contradiction
132	contradiction
133	entailment
134	entailment
135	contradiction
136	contradiction
137	contradiction
138	contradiction
139	contradiction
140	neutral
141	contradiction
142	neutral
143	contradiction
144	contradiction
145	entailment
146	neutral
147	contradiction
148	entailment
149	contradiction
150	neutral
151	entailment
152	contradiction
153	entailment
154	entailment
155	neutral
156	contradiction
157	contradiction
158	entailment
159	entailment
160	neutral
161	contradiction
162	contradiction
163	entailment
164	contradiction
165	contradiction
166	contradiction
167	entailment
168	neutral
169	contradiction
170	contradiction
171	neutral
172	neutral
173	neutral
174	entailment
175	contradiction
176	neutral
177	entailment
178	entailment
179	neutral
180	contradiction
181	contradiction
182	entailment
183	contradiction
184	contradiction
185	neutral
186	contradiction
187	contradiction
188	contradiction
189	entailment
190	entailment
191	neutral
192	entailment
193	contradiction
194	neutral
195	contradiction
196	neutral
197	neutral
198	entailment
199	contradiction
200	contradiction
201	entailment
202	contradiction
203	neutral
204	neutral
205	contradiction
206	contradiction
207	neutral
208	neutral
209	neutral
210	contradiction
211	contradiction
212	contradiction
213	contradiction
214	contradiction
215	entailment
216	entailment
217	entailment
218	neutral
219	neutral
220	contradiction
221	neutral
222	entailment
223	contradiction
224	neutral
225	contradiction
226	contradiction
227	neutral
228	contradiction
229	contradiction
230	neutral
231	contradiction
232	entailment
233	contradiction
234	contradiction
235	neutral
236	contradiction
237	contradiction
238	neutral
239	contradiction
240	entailment
241	entailment
242	entailment
243	neutral
244	contradiction
245	contradiction
246	contradiction
247	neutral
248	neutral
249	neutral
250	neutral
251	contradiction
252	entailment
253	neutral
254	contradiction
255	neutral
256	contradiction
257	neutral
258	contradiction
259	contradiction
260	contradiction
261	contradiction
262	contradiction
263	entailment
264	neutral
265	entailment
266	entailment
267	entailment
268	entailment
269	neutral
270	contradiction
271	entailment
272	entailment
273	entailment
274	entailment
275	neutral
276	neutral
277	contradiction
278	neutral
279	entailment
280	contradiction
281	neutral
282	neutral
283	neutral
284	contradiction
285	contradiction
286	neutral
287	neutral
288	neutral
289	contradiction
290	contradiction
291	contradiction
292	contradiction
293	contradiction
294	contradiction
295	entailment
296	entailment
297	entailment
298	neutral
299	neutral
300	contradiction
301	neutral
302	contradiction
303	contradiction
304	contradiction
305	entailment
306	neutral
307	neutral
308	contradiction
309	contradiction
310	contradiction
311	contradiction
312	neutral
313	contradiction
314	entailment
315	contradiction
316	entailment
317	neutral
318	contradiction
319	entailment
320	neutral
321	neutral
322	entailment
323	contradiction
324	entailment
325	contradiction
326	contradiction
327	contradiction
328	contradiction
329	contradiction
330	entailment
331	neutral
332	entailment
333	contradiction
334	contradiction
335	neutral
336	contradiction
337	contradiction
338	entailment
339	neutral
340	neutral
341	contradiction
342	contradiction
343	neutral
344	neutral
345	neutral
346	entailment
347	contradiction
348	neutral
349	neutral
350	contradiction
351	contradiction
352	neutral
353	contradiction
354	neutral
355	neutral
356	entailment
357	contradiction
358	contradiction
359	neutral
360	contradiction
361	neutral
362	entailment
363	neutral
364	entailment
365	contradiction
366	neutral
367	neutral
368	contradiction
369	contradiction
370	entailment
371	entailment
372	contradiction
373	neutral
374	neutral
375	contradiction
376	entailment
377	entailment
378	entailment
379	entailment
380	neutral
381	contradiction
382	entailment
383	neutral
384	entailment
385	neutral
386	entailment
387	entailment
388	contradiction
389	contradiction
390	entailment
391	entailment
