index	prediction
0	entailment
1	contradiction
2	neutral
3	contradiction
4	contradiction
5	contradiction
6	neutral
7	neutral
8	entailment
9	contradiction
10	contradiction
11	neutral
12	entailment
13	neutral
14	entailment
15	neutral
16	entailment
17	entailment
18	neutral
19	contradiction
20	contradiction
21	entailment
22	entailment
23	contradiction
24	contradiction
25	entailment
26	entailment
27	entailment
28	neutral
29	contradiction
30	neutral
31	entailment
32	neutral
33	contradiction
34	neutral
35	entailment
36	neutral
37	neutral
38	entailment
39	contradiction
40	neutral
41	contradiction
42	entailment
43	contradiction
44	neutral
45	entailment
46	contradiction
47	entailment
48	contradiction
49	entailment
50	contradiction
51	neutral
52	entailment
53	neutral
54	neutral
55	entailment
56	contradiction
57	entailment
58	entailment
59	entailment
60	contradiction
61	neutral
62	contradiction
63	contradiction
64	neutral
65	entailment
66	contradiction
67	entailment
68	neutral
69	neutral
70	neutral
71	entailment
72	entailment
73	contradiction
74	entailment
75	contradiction
76	entailment
77	contradiction
78	entailment
79	entailment
80	entailment
81	contradiction
82	neutral
83	entailment
84	contradiction
85	contradiction
86	contradiction
87	contradiction
88	neutral
89	contradiction
90	contradiction
91	entailment
92	entailment
93	entailment
94	entailment
95	contradiction
96	contradiction
97	neutral
98	contradiction
99	contradiction
100	contradiction
101	neutral
102	neutral
103	contradiction
104	contradiction
105	entailment
106	neutral
107	neutral
108	contradiction
109	contradiction
110	entailment
111	entailment
112	neutral
113	contradiction
114	entailment
115	contradiction
116	neutral
117	neutral
118	entailment
119	contradiction
120	entailment
121	entailment
122	contradiction
123	neutral
124	neutral
125	neutral
126	entailment
127	entailment
128	entailment
129	contradiction
130	entailment
131	contradiction
132	entailment
133	entailment
134	neutral
135	contradiction
136	neutral
137	contradiction
138	contradiction
139	contradiction
140	neutral
141	contradiction
142	entailment
143	entailment
144	contradiction
145	entailment
146	neutral
147	neutral
148	contradiction
149	neutral
150	neutral
151	neutral
152	entailment
153	entailment
154	neutral
155	contradiction
156	neutral
157	contradiction
158	contradiction
159	neutral
160	entailment
161	contradiction
162	entailment
163	neutral
164	neutral
165	entailment
166	contradiction
167	contradiction
168	entailment
169	contradiction
170	contradiction
171	neutral
172	neutral
173	entailment
174	entailment
175	neutral
176	contradiction
177	entailment
178	neutral
179	contradiction
180	contradiction
181	entailment
182	neutral
183	neutral
184	neutral
185	entailment
186	contradiction
187	entailment
188	contradiction
189	contradiction
190	entailment
191	neutral
192	contradiction
