index	prediction
0	entailment
1	contradiction
2	neutral
3	contradiction
4	contradiction
5	contradiction
6	neutral
7	entailment
8	entailment
9	contradiction
10	contradiction
11	neutral
12	entailment
13	neutral
14	entailment
15	entailment
16	entailment
17	contradiction
18	entailment
19	contradiction
20	contradiction
21	entailment
22	neutral
23	contradiction
24	entailment
25	entailment
26	entailment
27	neutral
28	neutral
29	entailment
30	neutral
31	contradiction
32	neutral
33	contradiction
34	contradiction
35	neutral
36	neutral
37	neutral
38	entailment
39	contradiction
40	neutral
41	contradiction
42	neutral
43	contradiction
44	neutral
45	entailment
46	entailment
47	entailment
48	contradiction
49	entailment
50	entailment
51	neutral
52	entailment
53	neutral
54	neutral
55	neutral
56	neutral
57	entailment
58	entailment
59	neutral
60	contradiction
61	neutral
62	contradiction
63	entailment
64	contradiction
65	entailment
66	contradiction
67	entailment
68	neutral
69	neutral
70	neutral
71	entailment
72	contradiction
73	contradiction
74	entailment
75	contradiction
76	entailment
77	contradiction
78	entailment
79	entailment
80	entailment
81	contradiction
82	neutral
83	contradiction
84	contradiction
85	contradiction
86	contradiction
87	contradiction
88	neutral
89	entailment
90	contradiction
91	entailment
92	entailment
93	entailment
94	entailment
95	entailment
96	contradiction
97	neutral
98	contradiction
99	contradiction
100	contradiction
101	neutral
102	entailment
103	contradiction
104	entailment
105	entailment
106	contradiction
107	neutral
108	contradiction
109	neutral
110	neutral
111	neutral
112	neutral
113	contradiction
114	entailment
115	contradiction
116	contradiction
117	entailment
118	entailment
119	contradiction
120	neutral
121	entailment
122	entailment
123	contradiction
124	neutral
125	contradiction
126	entailment
127	contradiction
128	neutral
129	contradiction
130	entailment
131	entailment
132	contradiction
133	contradiction
134	neutral
135	contradiction
136	neutral
137	contradiction
138	contradiction
139	contradiction
140	contradiction
141	contradiction
142	entailment
143	contradiction
144	contradiction
145	neutral
146	entailment
147	neutral
148	neutral
149	neutral
150	contradiction
151	entailment
152	entailment
153	entailment
154	neutral
155	contradiction
156	neutral
157	contradiction
158	neutral
159	neutral
160	neutral
161	contradiction
162	entailment
163	neutral
164	neutral
165	entailment
166	contradiction
167	contradiction
168	entailment
169	neutral
170	contradiction
171	contradiction
172	neutral
173	entailment
174	neutral
175	entailment
176	contradiction
177	contradiction
178	contradiction
179	neutral
180	contradiction
181	entailment
182	neutral
183	neutral
184	neutral
185	neutral
186	contradiction
187	entailment
188	contradiction
189	contradiction
190	entailment
191	neutral
192	entailment
