index	prediction
0	1.774
1	2.171
2	1.775
3	1.977
4	2.219
5	3.489
6	1.591
7	2.309
8	2.268
9	1.904
10	1.904
11	2.806
12	1.408
13	2.686
14	1.535
15	2.652
16	3.199
17	2.152
18	1.779
19	1.617
20	2.998
21	1.729
22	2.362
23	2.475
24	2.469
25	1.625
26	1.644
27	2.225
28	1.537
29	2.157
30	3.405
31	2.758
32	3.172
33	2.095
34	1.838
35	2.050
36	1.636
37	2.630
38	2.052
39	1.811
40	2.072
41	2.817
42	2.171
43	1.809
44	2.568
45	1.908
46	1.372
47	2.531
48	2.753
49	1.469
50	1.452
51	1.565
52	1.941
53	2.225
54	2.786
55	1.976
56	2.520
57	1.485
58	2.512
59	2.297
60	2.445
61	3.123
62	2.719
63	2.118
64	3.519
65	1.755
66	2.124
67	2.778
68	1.777
69	3.239
70	1.893
71	2.274
72	2.085
73	1.930
74	2.998
75	1.384
76	2.512
77	2.200
78	2.316
79	2.866
80	2.529
81	1.790
82	2.832
83	3.128
84	1.335
85	2.726
86	3.755
87	1.704
88	2.457
89	2.755
90	2.147
91	2.069
92	1.862
93	2.714
94	1.760
95	3.318
96	3.635
97	2.082
98	2.861
99	1.723
100	2.843
101	3.116
102	2.301
103	1.618
104	1.650
105	1.918
106	2.306
107	2.496
108	3.111
109	2.376
110	2.630
111	2.625
112	2.881
113	3.357
114	2.704
115	2.186
116	3.432
117	1.824
118	2.765
119	2.917
120	2.107
121	3.275
122	2.226
123	2.224
124	2.164
125	2.065
126	1.295
127	2.212
128	2.938
129	2.708
130	1.957
131	2.142
132	2.477
133	2.506
134	2.636
135	3.877
136	2.783
137	2.927
138	2.225
139	2.729
140	2.361
141	2.334
142	1.581
143	4.088
144	3.047
145	1.999
146	2.988
147	2.661
148	2.291
149	1.350
150	1.682
151	2.018
152	1.945
153	2.208
154	1.761
155	2.462
156	2.331
157	1.386
158	3.530
159	1.382
160	2.181
161	1.780
162	1.896
163	2.231
164	1.510
165	2.923
166	3.145
167	1.597
168	3.045
169	2.126
170	2.295
171	2.578
172	3.265
173	2.075
174	1.204
175	2.146
176	3.400
177	2.352
178	1.919
179	1.297
180	1.240
181	2.994
182	2.206
183	1.660
184	3.018
185	2.307
186	2.783
187	2.333
188	1.855
189	2.024
190	2.019
191	2.422
192	2.132
193	1.962
194	2.839
195	2.474
196	1.957
197	3.274
198	1.723
199	2.304
200	2.540
201	1.788
202	2.585
203	2.406
204	3.074
205	1.998
206	2.659
207	1.897
208	1.931
209	2.958
210	2.987
211	2.083
212	1.684
213	2.656
214	2.821
215	1.246
216	2.275
217	2.284
218	3.246
219	2.389
220	2.048
221	2.170
222	3.101
223	3.252
224	2.793
225	3.037
226	2.301
227	3.178
228	2.659
229	3.062
230	3.187
231	1.559
232	2.422
233	1.618
234	1.978
235	3.375
236	2.043
237	2.692
238	2.220
239	2.055
240	1.990
241	2.142
242	2.790
243	1.846
244	2.834
245	2.490
246	2.658
247	3.280
248	2.338
249	2.080
250	2.532
251	3.387
252	3.077
253	3.224
254	2.258
255	2.332
256	2.412
257	1.945
258	2.617
259	2.905
260	3.075
261	2.891
262	3.197
263	2.505
264	1.959
265	2.412
266	3.125
267	2.587
268	3.433
269	3.010
270	2.824
271	3.356
272	3.479
273	2.040
274	2.504
275	2.409
276	2.722
277	2.392
278	2.222
279	2.570
280	2.812
281	2.563
282	3.064
283	2.518
284	2.642
285	2.996
286	2.175
287	2.170
288	3.208
289	1.980
290	2.913
291	2.246
292	2.044
293	3.403
294	2.847
295	2.660
296	2.506
297	2.682
298	2.867
299	2.520
300	3.067
301	2.447
302	2.178
303	2.715
304	1.853
305	2.705
306	2.192
307	2.662
308	3.047
309	3.448
310	1.937
311	3.061
312	2.305
313	3.065
314	2.816
315	2.073
316	2.623
317	1.730
318	2.337
319	2.890
320	1.906
321	3.146
322	2.997
323	2.944
324	3.097
325	3.108
326	3.144
327	2.645
328	3.273
329	2.777
330	3.079
331	2.147
332	3.373
333	3.077
334	2.734
335	2.382
336	3.054
337	2.307
338	2.128
339	2.288
340	2.978
341	3.036
342	3.543
343	2.159
344	3.305
345	1.913
346	3.042
347	2.688
348	3.264
349	2.075
350	2.264
351	2.907
352	2.593
353	2.779
354	2.007
355	2.176
356	2.149
357	3.140
358	2.442
359	2.867
360	2.432
361	2.380
362	3.284
363	2.905
364	3.623
365	2.687
366	2.740
367	2.545
368	2.816
369	2.083
370	2.716
371	3.378
372	2.080
373	2.560
374	2.526
375	1.934
376	3.017
377	2.152
378	2.239
379	1.936
380	2.356
381	2.739
382	2.713
383	2.363
384	3.050
385	2.601
386	2.902
387	2.532
388	2.603
389	2.561
390	2.716
391	3.121
392	3.117
393	3.785
394	2.855
395	1.955
396	1.978
397	2.418
398	2.858
399	2.559
400	3.074
401	2.045
402	2.969
403	2.456
404	3.371
405	2.899
406	2.201
407	2.771
408	2.654
409	2.879
410	2.692
411	2.212
