index	prediction
0	2.142
1	2.316
2	2.203
3	2.108
4	2.505
5	3.093
6	2.109
7	2.096
8	2.128
9	2.115
10	2.115
11	2.124
12	2.110
13	2.134
14	2.112
15	2.146
16	3.535
17	2.109
18	2.112
19	2.111
20	2.285
21	2.110
22	2.487
23	2.109
24	2.112
25	2.112
26	2.112
27	2.103
28	2.112
29	2.115
30	3.720
31	2.516
32	3.552
33	2.723
34	2.309
35	2.120
36	2.124
37	3.182
38	2.110
39	2.101
40	2.132
41	2.138
42	2.112
43	2.111
44	2.810
45	2.129
46	2.112
47	2.201
48	2.375
49	2.096
50	2.112
51	2.108
52	2.114
53	2.083
54	2.552
55	2.110
56	2.561
57	2.109
58	2.275
59	2.132
60	4.642
61	2.146
62	2.112
63	2.166
64	4.532
65	2.112
66	2.103
67	2.233
68	2.111
69	2.684
70	2.190
71	2.111
72	2.141
73	2.114
74	2.385
75	2.116
76	2.457
77	2.081
78	2.116
79	4.687
80	2.117
81	2.089
82	2.223
83	4.533
84	2.129
85	2.102
86	2.362
87	2.492
88	2.434
89	2.112
90	2.141
91	2.142
92	2.110
93	2.829
94	2.186
95	2.141
96	4.100
97	2.238
98	3.084
99	2.106
100	2.132
101	2.358
102	2.344
103	2.103
104	2.040
105	2.119
106	2.119
107	2.119
108	2.580
109	2.228
110	2.118
111	2.651
112	3.267
113	3.150
114	2.100
115	2.125
116	3.281
117	2.111
118	2.220
119	2.152
120	3.432
121	2.138
122	2.165
123	2.292
124	2.354
125	2.110
126	2.113
127	2.111
128	3.409
129	2.684
130	2.323
131	2.111
132	2.108
133	2.134
134	2.113
135	4.405
136	4.073
137	2.159
138	2.091
139	2.333
140	2.094
141	3.674
142	2.112
143	3.179
144	2.680
145	2.103
146	2.713
147	2.267
148	2.112
149	2.108
150	2.103
151	2.113
152	2.111
153	2.112
154	2.126
155	2.116
156	2.096
157	2.112
158	4.653
159	2.110
160	2.562
161	2.112
162	2.114
163	2.110
164	2.247
165	3.312
166	4.291
167	2.231
168	2.105
169	2.132
170	2.125
171	2.111
172	3.115
173	2.102
174	2.154
175	2.363
176	3.236
177	2.546
178	2.114
179	2.112
180	2.113
181	2.793
182	2.166
183	2.109
184	2.326
185	2.120
186	2.169
187	2.145
188	2.125
189	2.192
190	2.164
191	2.107
192	2.140
193	2.216
194	2.382
195	4.321
196	2.273
197	2.169
198	2.098
199	3.311
200	2.367
201	2.178
202	2.114
203	2.552
204	4.324
205	2.169
206	2.405
207	2.067
208	2.120
209	3.555
210	3.801
211	2.152
212	2.115
213	2.124
214	2.206
215	2.143
216	2.143
217	2.511
218	3.382
219	3.259
220	2.164
221	2.109
222	3.007
223	3.797
224	2.225
225	2.259
226	2.522
227	2.519
228	2.325
229	2.179
230	2.271
231	2.109
232	2.568
233	2.106
234	2.114
235	3.566
236	2.093
237	2.709
238	2.241
239	2.109
240	2.119
241	2.108
242	2.253
243	2.327
244	2.231
245	2.129
246	2.300
247	2.239
248	2.135
249	2.184
250	2.240
251	2.711
252	2.987
253	4.368
254	2.110
255	2.125
256	2.225
257	2.106
258	2.260
259	2.204
260	3.193
261	2.221
262	2.816
263	2.154
264	2.234
265	2.437
266	2.340
267	2.512
268	2.318
269	4.848
270	2.460
271	2.237
272	2.931
273	2.126
274	2.646
275	2.134
276	2.123
277	2.638
278	2.239
279	2.311
280	2.891
281	2.179
282	2.617
283	2.507
284	3.662
285	4.015
286	2.289
287	2.127
288	4.489
289	2.124
290	2.557
291	2.213
292	2.508
293	2.848
294	3.388
295	2.669
296	2.510
297	2.577
298	2.231
299	2.420
300	2.819
301	2.335
302	2.151
303	2.653
304	2.128
305	2.523
306	2.247
307	2.551
308	3.547
309	3.862
310	2.324
311	2.172
312	2.308
313	2.873
314	2.342
315	2.117
316	3.145
317	2.112
318	2.251
319	2.286
320	2.127
321	2.373
322	4.181
323	3.733
324	3.901
325	2.829
326	4.175
327	2.736
328	3.498
329	2.173
330	2.251
331	2.985
332	2.590
333	2.505
334	2.258
335	2.386
336	4.927
337	2.342
338	2.445
339	2.119
340	2.378
341	2.484
342	3.999
343	2.261
344	3.871
345	2.186
346	3.770
347	2.377
348	2.719
349	2.264
350	2.660
351	2.188
352	2.230
353	2.195
354	2.157
355	2.467
356	2.230
357	2.277
358	2.159
359	2.495
360	2.231
361	3.206
362	3.029
363	2.883
364	4.676
365	2.436
366	2.888
367	2.183
368	2.249
369	2.180
370	4.415
371	3.088
372	2.246
373	2.417
374	2.596
375	2.129
376	3.788
377	2.538
378	2.149
379	2.542
380	2.396
381	2.113
382	2.225
383	2.328
384	3.277
385	2.213
386	3.006
387	2.240
388	2.453
389	2.211
390	2.743
391	2.719
392	2.347
393	3.174
394	2.602
395	2.127
396	2.502
397	2.173
398	2.199
399	3.121
400	3.409
401	2.111
402	3.047
403	2.558
404	2.712
405	2.501
406	2.117
407	3.128
408	2.370
409	3.171
410	3.481
411	2.475
412	2.320
413	2.472
414	2.377
415	2.522
416	2.321
417	2.508
418	2.578
419	3.435
420	3.588
421	2.160
422	2.278
423	2.703
424	2.491
425	2.789
426	2.552
427	2.208
428	2.541
429	2.816
430	2.220
431	2.465
432	2.272
433	2.529
434	2.133
435	2.433
436	2.512
437	2.925
438	2.238
439	2.115
440	2.345
441	2.212
442	2.110
443	2.274
444	3.372
445	2.428
446	2.285
447	2.293
448	2.094
449	2.358
450	4.435
451	3.409
452	2.158
453	2.107
454	2.332
455	2.431
456	2.260
457	3.806
458	2.972
459	2.225
460	2.156
461	2.116
462	3.436
463	2.398
464	2.176
465	2.829
466	2.137
467	4.520
468	2.524
469	2.124
470	2.689
471	2.622
472	2.255
473	2.281
474	2.657
475	2.200
476	2.112
477	2.683
478	2.499
479	2.200
480	2.700
481	2.212
482	2.186
483	2.747
484	2.180
485	2.286
486	4.401
487	2.152
488	2.408
489	2.215
490	2.863
491	2.163
492	2.722
493	2.177
494	2.913
495	2.324
496	2.226
497	2.210
498	3.052
499	4.135
500	2.113
501	2.110
502	2.243
503	2.116
504	2.216
505	2.120
506	2.113
507	2.314
508	2.120
509	2.715
510	2.141
511	2.191
512	2.118
513	2.108
514	2.298
515	2.453
516	2.498
517	2.128
518	2.196
519	2.244
520	2.119
521	3.849
522	2.176
523	2.581
524	3.134
525	2.451
526	2.112
527	2.811
528	2.177
529	2.170
530	2.149
531	2.150
532	2.113
533	2.125
534	2.113
535	2.111
536	2.167
537	2.146
538	2.226
539	2.173
540	2.357
541	2.128
542	2.136
543	4.684
544	2.678
545	2.118
546	2.108
547	2.322
548	2.128
549	2.111
550	2.232
551	2.542
552	2.197
553	2.111
554	2.980
555	3.397
556	2.130
557	2.282
558	2.443
559	2.186
560	2.112
561	2.334
562	2.114
563	2.387
564	3.780
565	2.191
566	2.142
567	2.305
568	2.513
569	2.109
570	2.124
571	2.103
572	2.200
573	3.043
574	2.137
575	2.428
576	2.762
577	2.319
578	2.123
579	2.358
580	2.156
581	2.135
582	3.895
583	2.127
584	4.508
585	2.435
586	2.140
587	2.470
588	2.178
589	2.187
590	2.130
591	2.149
592	3.030
593	2.114
594	2.140
595	3.734
596	2.439
597	3.457
598	3.480
599	2.430
600	2.179
601	2.124
602	2.425
603	2.115
604	2.930
605	3.759
606	2.358
607	2.326
608	2.113
609	2.899
610	2.195
611	2.160
612	2.309
613	2.110
614	2.144
615	2.112
616	2.131
617	2.132
618	3.115
619	2.152
620	2.369
621	2.367
622	2.379
623	2.284
624	2.256
625	3.761
626	2.447
627	3.277
628	2.804
629	2.566
630	2.383
631	2.185
632	2.157
633	2.388
634	2.327
635	2.371
636	2.168
637	2.157
638	2.273
639	2.507
640	3.340
641	2.326
642	3.830
643	2.368
644	2.379
645	3.125
646	2.154
647	4.134
648	2.883
649	2.144
650	2.284
651	2.597
652	2.233
653	2.184
654	2.132
655	2.558
656	2.828
657	2.162
658	2.364
659	2.126
660	2.340
661	2.391
662	3.682
663	2.605
664	2.179
665	2.708
666	2.128
667	2.205
668	2.160
669	4.981
670	2.204
671	2.206
672	2.848
673	2.158
674	2.117
675	2.124
676	2.927
677	2.339
678	2.313
679	2.307
680	2.514
681	2.430
682	2.189
683	2.115
684	2.119
685	2.610
686	2.186
687	2.225
688	4.219
689	2.823
690	2.342
691	4.954
692	2.530
693	2.716
694	2.352
695	2.417
696	4.978
697	2.197
698	2.437
699	2.604
700	2.159
701	3.634
702	2.353
703	2.836
704	2.228
705	2.328
706	2.115
707	2.344
708	2.220
709	2.412
710	3.044
711	2.190
712	2.328
713	2.181
714	2.341
715	3.101
716	2.557
717	2.131
718	2.778
719	2.195
720	4.216
721	3.389
722	2.349
723	2.128
724	4.610
725	2.132
726	2.386
727	2.820
728	2.546
729	3.003
730	2.243
731	2.336
732	2.686
733	2.182
734	2.660
735	2.254
736	2.813
737	2.124
738	2.138
739	2.216
740	2.155
741	2.354
742	2.563
743	3.636
744	2.388
745	2.462
746	2.330
747	2.731
748	2.854
749	2.260
750	2.161
751	2.605
752	2.366
753	2.353
754	2.652
755	3.054
756	4.098
757	2.120
758	2.411
759	2.184
760	2.132
761	2.164
762	2.178
763	2.188
764	2.297
765	2.255
766	2.220
767	4.005
768	2.607
769	2.115
770	3.401
771	2.159
772	2.573
773	2.189
774	3.607
775	2.941
776	2.292
777	2.230
778	4.044
779	3.740
780	2.464
781	2.224
782	2.184
783	2.601
784	2.199
785	2.116
786	2.313
787	2.500
788	2.467
789	2.201
790	2.178
791	2.550
792	2.276
793	3.207
794	2.826
795	3.060
796	2.514
797	2.439
798	2.241
799	2.143
800	3.129
801	2.168
802	2.541
803	2.237
804	2.309
805	2.120
806	3.203
807	3.247
808	2.309
809	2.221
810	3.097
811	2.296
812	2.128
813	2.143
814	2.169
815	2.487
816	2.948
817	2.684
818	2.357
819	2.234
820	2.164
821	2.406
822	2.384
823	2.279
824	2.489
825	2.200
826	2.359
827	3.444
828	2.387
829	3.174
830	2.235
831	2.112
832	3.384
833	3.069
834	2.996
835	2.998
836	2.178
837	2.191
838	3.326
839	2.181
840	3.365
841	2.172
842	2.220
843	2.146
844	2.498
845	2.118
846	2.629
847	2.928
848	3.444
849	2.979
850	2.202
851	2.939
852	2.684
853	2.130
854	2.163
855	2.380
856	2.829
857	2.376
858	2.411
859	3.311
860	2.118
861	2.148
862	2.954
863	2.119
864	2.166
865	2.260
866	2.674
867	2.186
868	2.197
869	2.121
870	2.532
871	3.445
872	2.564
873	3.743
874	2.282
875	2.210
876	3.602
877	2.332
878	2.122
879	2.234
880	2.847
881	2.529
882	3.079
883	3.533
884	4.429
885	3.507
886	2.590
887	2.990
888	3.881
889	2.917
890	2.800
891	4.552
892	2.347
893	2.352
894	4.134
895	2.344
896	2.987
897	2.468
898	3.527
899	3.775
900	4.933
901	4.120
902	2.146
903	4.223
904	4.696
905	2.861
906	3.457
907	2.130
908	3.304
909	4.535
910	3.523
911	3.079
912	2.654
913	2.203
914	4.999
915	3.511
916	3.017
917	4.460
918	3.941
919	2.693
920	2.495
921	2.836
922	2.221
923	2.908
924	4.992
925	3.326
926	2.790
927	2.358
928	4.365
929	3.658
930	2.706
931	4.695
932	3.260
933	2.892
934	2.225
935	2.196
936	2.199
937	4.841
938	3.235
939	3.047
940	3.412
941	3.002
942	2.459
943	3.402
944	2.316
945	3.165
946	2.641
947	2.168
948	4.513
949	4.037
950	4.622
951	2.181
952	4.136
953	2.860
954	3.954
955	2.242
956	4.516
957	2.192
958	5.000
959	2.119
960	4.759
961	2.787
962	4.760
963	2.287
964	2.204
965	4.629
966	3.639
967	2.298
968	3.026
969	3.034
970	2.183
971	2.881
972	3.896
973	4.796
974	3.320
975	3.007
976	2.247
977	4.798
978	3.091
979	2.864
980	4.386
981	3.968
982	2.263
983	2.224
984	3.468
985	3.385
986	2.702
987	3.729
988	2.745
989	3.996
990	4.582
991	3.653
992	3.446
993	2.928
994	2.906
995	3.962
996	2.309
997	2.720
998	3.798
999	3.458
1000	3.072
1001	2.224
1002	3.236
1003	3.637
1004	4.582
1005	2.841
1006	4.874
1007	3.011
1008	2.825
1009	3.977
1010	3.689
1011	2.146
1012	4.264
1013	4.929
1014	2.983
1015	3.577
1016	3.907
1017	2.431
1018	4.060
1019	3.812
1020	3.104
1021	2.361
1022	3.296
1023	3.130
1024	3.805
1025	2.460
1026	2.501
1027	3.231
1028	3.162
1029	2.178
1030	3.848
1031	4.371
1032	2.969
1033	2.405
1034	3.868
1035	2.229
1036	4.645
1037	3.369
1038	4.972
1039	4.799
1040	4.078
1041	4.961
1042	2.306
1043	2.685
1044	2.241
1045	3.085
1046	2.492
1047	2.839
1048	3.530
1049	2.533
1050	2.542
1051	4.074
1052	3.532
1053	3.141
1054	2.619
1055	2.599
1056	5.000
1057	3.062
1058	4.207
1059	3.267
1060	2.573
1061	4.816
1062	3.242
1063	2.633
1064	4.583
1065	4.166
1066	4.347
1067	3.208
1068	3.514
1069	3.310
1070	4.187
1071	3.700
1072	2.727
1073	2.121
1074	2.232
1075	4.728
1076	4.862
1077	4.467
1078	3.297
1079	2.180
1080	2.372
1081	4.156
1082	4.199
1083	2.282
1084	3.356
1085	4.788
1086	2.451
1087	2.122
1088	2.867
1089	3.698
1090	4.435
1091	4.326
1092	2.787
1093	3.038
1094	3.857
1095	2.326
1096	4.091
1097	2.866
1098	4.014
1099	2.188
1100	4.679
1101	4.072
1102	2.537
1103	4.046
1104	4.892
1105	3.708
1106	4.846
1107	2.744
1108	2.989
1109	4.169
1110	2.123
1111	2.173
1112	2.900
1113	4.603
1114	2.639
1115	4.930
1116	3.612
1117	2.531
1118	2.391
1119	2.755
1120	3.355
1121	2.131
1122	4.709
1123	4.266
1124	2.262
1125	2.874
1126	3.914
1127	3.738
1128	2.539
1129	2.241
1130	2.111
1131	2.615
1132	2.297
1133	2.466
1134	2.110
1135	4.975
1136	2.139
1137	2.558
1138	2.118
1139	2.890
1140	2.722
1141	2.271
1142	2.250
1143	4.757
1144	3.538
1145	2.343
1146	2.239
1147	2.822
1148	2.271
1149	2.122
1150	2.496
1151	2.313
1152	2.985
1153	2.198
1154	4.955
1155	2.195
1156	2.317
1157	2.114
1158	4.393
1159	2.272
1160	5.000
1161	2.121
1162	2.239
1163	3.785
1164	2.532
1165	2.136
1166	2.450
1167	2.777
1168	2.112
1169	2.114
1170	2.112
1171	2.675
1172	2.135
1173	2.373
1174	2.248
1175	3.198
1176	2.753
1177	2.638
1178	3.208
1179	3.955
1180	2.172
1181	2.362
1182	2.983
1183	2.263
1184	2.644
1185	2.933
1186	2.520
1187	2.197
1188	4.934
1189	2.469
1190	3.894
1191	2.129
1192	2.111
1193	2.772
1194	2.194
1195	2.780
1196	2.746
1197	4.632
1198	4.763
1199	2.133
1200	2.556
1201	2.224
1202	2.247
1203	4.527
1204	2.312
1205	4.879
1206	2.113
1207	4.833
1208	2.145
1209	2.296
1210	3.568
1211	4.997
1212	2.293
1213	4.998
1214	5.000
1215	4.968
1216	2.112
1217	3.937
1218	2.418
1219	2.316
1220	2.120
1221	3.458
1222	4.838
1223	2.929
1224	2.742
1225	2.479
1226	3.062
1227	2.639
1228	4.792
1229	2.358
1230	2.555
1231	3.335
1232	3.452
1233	2.241
1234	4.870
1235	2.468
1236	3.133
1237	2.175
1238	2.132
1239	4.045
1240	2.283
1241	3.022
1242	2.172
1243	2.928
1244	2.477
1245	5.000
1246	2.853
1247	3.844
1248	2.465
1249	2.453
1250	2.792
1251	2.672
1252	2.417
1253	2.541
1254	2.732
1255	4.976
1256	2.617
1257	4.988
1258	2.436
1259	2.297
1260	2.508
1261	2.115
1262	2.398
1263	2.820
1264	2.107
1265	4.501
1266	2.192
1267	2.134
1268	2.374
1269	2.111
1270	3.922
1271	2.546
1272	2.468
1273	4.031
1274	3.221
1275	2.112
1276	2.353
1277	3.307
1278	2.199
1279	2.534
1280	2.510
1281	2.383
1282	2.647
1283	3.936
1284	2.241
1285	2.293
1286	2.169
1287	2.211
1288	3.498
1289	2.193
1290	3.677
1291	2.138
1292	2.181
1293	2.276
1294	2.133
1295	3.153
1296	2.926
1297	3.835
1298	2.376
1299	3.036
1300	2.278
1301	4.427
1302	2.253
1303	2.113
1304	2.211
1305	2.289
1306	2.112
1307	2.349
1308	2.429
1309	2.991
1310	2.128
1311	3.168
1312	2.363
1313	4.680
1314	2.218
1315	3.284
1316	2.113
1317	3.745
1318	2.175
1319	2.128
1320	4.999
1321	2.263
1322	3.031
1323	2.117
1324	3.450
1325	4.363
1326	2.541
1327	2.115
1328	2.124
1329	2.162
1330	2.120
1331	2.771
1332	2.160
1333	4.525
1334	2.556
1335	4.999
1336	2.986
1337	2.935
1338	2.212
1339	2.186
1340	2.913
1341	2.249
1342	2.251
1343	2.114
1344	2.405
1345	3.390
1346	2.468
1347	2.375
1348	2.455
1349	2.282
1350	2.112
1351	4.721
1352	2.895
1353	3.252
1354	4.978
1355	2.137
1356	4.521
1357	3.265
1358	2.228
1359	2.340
1360	2.114
1361	2.341
1362	2.139
1363	2.215
1364	4.334
1365	2.755
1366	2.170
1367	2.564
1368	2.112
1369	2.163
1370	2.267
1371	2.122
1372	2.802
1373	2.496
1374	4.012
1375	2.175
1376	2.257
1377	2.884
1378	2.528
