index	prediction
0	entailment
1	entailment
2	entailment
3	not_entailment
4	entailment
5	not_entailment
6	not_entailment
7	entailment
8	entailment
9	not_entailment
10	entailment
11	entailment
12	entailment
13	not_entailment
14	entailment
15	entailment
16	not_entailment
17	not_entailment
18	not_entailment
19	entailment
20	entailment
21	not_entailment
22	entailment
23	not_entailment
24	not_entailment
25	not_entailment
26	entailment
27	entailment
28	not_entailment
29	entailment
30	entailment
31	entailment
32	entailment
33	entailment
34	entailment
35	entailment
36	entailment
37	not_entailment
38	entailment
39	entailment
40	entailment
41	not_entailment
42	not_entailment
43	not_entailment
44	entailment
45	not_entailment
46	entailment
47	entailment
48	not_entailment
49	entailment
50	not_entailment
51	not_entailment
52	not_entailment
53	not_entailment
54	entailment
55	entailment
56	entailment
57	entailment
58	not_entailment
59	entailment
60	entailment
61	entailment
62	entailment
63	entailment
64	entailment
65	entailment
66	entailment
67	not_entailment
68	not_entailment
69	not_entailment
70	entailment
71	entailment
72	not_entailment
73	not_entailment
74	entailment
75	not_entailment
76	not_entailment
77	not_entailment
78	entailment
79	not_entailment
80	entailment
81	not_entailment
82	not_entailment
83	entailment
84	entailment
85	not_entailment
86	not_entailment
87	entailment
88	entailment
89	not_entailment
90	entailment
91	not_entailment
92	entailment
93	entailment
94	not_entailment
95	entailment
96	not_entailment
97	entailment
98	not_entailment
99	entailment
100	not_entailment
101	entailment
102	entailment
103	entailment
104	entailment
105	entailment
106	entailment
107	entailment
108	entailment
109	entailment
110	not_entailment
111	not_entailment
112	not_entailment
113	entailment
114	entailment
115	entailment
116	entailment
117	not_entailment
118	entailment
119	entailment
120	not_entailment
121	entailment
122	entailment
123	entailment
124	entailment
125	not_entailment
126	not_entailment
127	entailment
128	entailment
129	not_entailment
130	not_entailment
131	entailment
132	not_entailment
133	entailment
134	entailment
135	not_entailment
136	not_entailment
137	not_entailment
138	entailment
139	not_entailment
140	entailment
141	not_entailment
142	entailment
143	entailment
144	entailment
145	not_entailment
146	entailment
147	entailment
148	entailment
149	not_entailment
150	not_entailment
151	not_entailment
152	not_entailment
153	entailment
154	entailment
155	entailment
156	not_entailment
157	entailment
158	entailment
159	entailment
160	entailment
161	entailment
162	not_entailment
163	entailment
164	entailment
165	entailment
166	entailment
167	entailment
168	not_entailment
169	entailment
170	entailment
171	entailment
172	not_entailment
173	entailment
174	entailment
175	entailment
176	not_entailment
177	entailment
178	not_entailment
179	not_entailment
180	not_entailment
181	not_entailment
182	entailment
183	not_entailment
184	entailment
185	entailment
186	entailment
187	entailment
188	entailment
189	entailment
190	not_entailment
191	not_entailment
192	entailment
193	not_entailment
194	not_entailment
195	entailment
196	not_entailment
197	entailment
198	entailment
199	entailment
200	entailment
201	entailment
202	entailment
203	entailment
204	entailment
205	entailment
206	entailment
207	entailment
208	entailment
209	entailment
210	not_entailment
211	entailment
212	not_entailment
213	entailment
214	entailment
215	entailment
216	entailment
217	entailment
218	not_entailment
219	not_entailment
220	not_entailment
221	entailment
222	entailment
223	entailment
224	entailment
225	not_entailment
226	entailment
227	entailment
228	entailment
229	entailment
230	not_entailment
231	entailment
232	entailment
233	entailment
234	not_entailment
235	not_entailment
236	entailment
237	entailment
238	not_entailment
239	entailment
240	not_entailment
241	entailment
242	not_entailment
243	entailment
244	entailment
245	not_entailment
246	entailment
247	not_entailment
248	entailment
249	entailment
250	entailment
251	entailment
252	entailment
253	not_entailment
254	not_entailment
255	not_entailment
256	not_entailment
257	not_entailment
258	entailment
259	not_entailment
260	entailment
261	entailment
262	not_entailment
263	not_entailment
264	entailment
265	entailment
266	entailment
267	not_entailment
268	entailment
269	entailment
270	entailment
271	entailment
272	not_entailment
273	entailment
274	not_entailment
275	not_entailment
276	entailment
277	entailment
278	not_entailment
279	entailment
280	entailment
281	not_entailment
282	not_entailment
283	entailment
284	entailment
285	entailment
286	not_entailment
287	entailment
288	entailment
289	entailment
290	entailment
291	entailment
292	not_entailment
293	not_entailment
294	entailment
295	not_entailment
296	not_entailment
297	entailment
298	entailment
299	entailment
300	entailment
301	not_entailment
302	not_entailment
303	not_entailment
304	not_entailment
305	entailment
306	not_entailment
307	entailment
308	not_entailment
309	not_entailment
310	not_entailment
311	entailment
312	entailment
313	entailment
314	not_entailment
315	entailment
316	not_entailment
317	entailment
318	entailment
319	not_entailment
320	entailment
321	not_entailment
322	not_entailment
323	entailment
324	entailment
325	entailment
326	entailment
327	entailment
328	entailment
329	entailment
330	entailment
331	entailment
332	not_entailment
333	entailment
334	entailment
335	entailment
336	not_entailment
337	not_entailment
338	entailment
339	entailment
340	entailment
341	entailment
342	entailment
343	not_entailment
344	entailment
345	entailment
346	not_entailment
347	entailment
348	entailment
349	not_entailment
350	entailment
351	not_entailment
352	entailment
353	entailment
354	not_entailment
355	not_entailment
356	entailment
357	not_entailment
358	entailment
359	not_entailment
360	entailment
361	not_entailment
362	entailment
363	not_entailment
364	entailment
365	not_entailment
366	not_entailment
367	not_entailment
368	not_entailment
369	not_entailment
370	entailment
371	not_entailment
372	not_entailment
373	not_entailment
374	entailment
375	entailment
376	entailment
377	not_entailment
378	entailment
379	not_entailment
380	not_entailment
381	not_entailment
382	entailment
383	entailment
384	not_entailment
385	entailment
386	not_entailment
387	not_entailment
388	not_entailment
389	entailment
390	entailment
391	entailment
392	not_entailment
393	not_entailment
394	entailment
395	entailment
396	not_entailment
397	entailment
398	entailment
399	entailment
400	entailment
401	entailment
402	entailment
403	not_entailment
404	entailment
405	entailment
406	not_entailment
407	not_entailment
408	not_entailment
409	not_entailment
410	entailment
411	entailment
412	not_entailment
413	entailment
414	entailment
415	entailment
416	entailment
417	entailment
418	entailment
419	not_entailment
420	entailment
421	entailment
422	entailment
423	not_entailment
424	entailment
425	not_entailment
426	not_entailment
427	entailment
428	not_entailment
429	not_entailment
430	entailment
431	entailment
432	entailment
433	entailment
434	entailment
435	not_entailment
436	entailment
437	entailment
438	not_entailment
439	entailment
440	entailment
441	not_entailment
442	entailment
443	entailment
444	entailment
445	entailment
446	not_entailment
