index	prediction
0	entailment
1	neutral
2	entailment
3	neutral
4	neutral
5	neutral
6	contradiction
7	entailment
8	neutral
9	entailment
10	neutral
11	entailment
12	entailment
13	contradiction
14	neutral
15	contradiction
16	entailment
17	entailment
18	contradiction
19	entailment
20	neutral
21	neutral
22	contradiction
23	contradiction
24	neutral
25	entailment
26	contradiction
27	entailment
28	entailment
29	entailment
30	contradiction
31	entailment
32	contradiction
33	entailment
34	entailment
35	entailment
36	contradiction
37	neutral
38	entailment
39	neutral
40	neutral
41	entailment
42	neutral
43	contradiction
44	neutral
45	entailment
46	contradiction
47	contradiction
48	neutral
49	entailment
50	entailment
51	contradiction
52	neutral
53	entailment
54	entailment
55	neutral
56	contradiction
57	entailment
58	entailment
59	entailment
60	entailment
61	neutral
62	contradiction
63	contradiction
64	neutral
65	neutral
66	contradiction
67	neutral
68	neutral
69	entailment
70	entailment
71	neutral
72	entailment
73	contradiction
74	entailment
75	entailment
76	contradiction
77	entailment
78	entailment
79	contradiction
80	entailment
81	contradiction
82	contradiction
83	neutral
84	entailment
85	contradiction
86	contradiction
87	neutral
88	contradiction
89	contradiction
90	contradiction
91	neutral
92	neutral
93	entailment
94	entailment
95	neutral
96	contradiction
97	contradiction
98	entailment
99	contradiction
100	contradiction
101	contradiction
102	entailment
103	contradiction
104	entailment
105	neutral
106	neutral
107	entailment
108	neutral
109	entailment
110	contradiction
111	contradiction
112	contradiction
113	entailment
114	entailment
115	entailment
116	neutral
117	contradiction
118	neutral
119	contradiction
120	contradiction
121	contradiction
122	contradiction
123	entailment
124	entailment
125	entailment
126	neutral
127	neutral
128	contradiction
129	neutral
130	contradiction
131	entailment
132	neutral
133	entailment
134	neutral
135	entailment
136	neutral
137	neutral
138	contradiction
139	contradiction
140	contradiction
141	contradiction
142	entailment
143	entailment
144	contradiction
145	entailment
146	entailment
147	contradiction
148	entailment
149	contradiction
150	neutral
151	contradiction
152	contradiction
153	entailment
154	contradiction
155	entailment
156	entailment
157	entailment
158	entailment
159	contradiction
160	contradiction
161	contradiction
162	contradiction
163	entailment
164	entailment
165	entailment
166	contradiction
167	entailment
168	entailment
169	neutral
170	contradiction
171	contradiction
172	entailment
173	entailment
174	neutral
175	entailment
176	contradiction
177	entailment
178	entailment
179	entailment
180	contradiction
181	entailment
182	neutral
183	neutral
184	neutral
185	contradiction
186	neutral
187	entailment
188	contradiction
189	entailment
190	entailment
191	contradiction
192	neutral
193	contradiction
194	neutral
195	contradiction
196	entailment
197	contradiction
198	contradiction
199	neutral
200	neutral
201	neutral
202	entailment
203	contradiction
204	contradiction
205	entailment
206	entailment
207	contradiction
208	entailment
209	entailment
210	neutral
211	contradiction
212	neutral
213	entailment
214	entailment
215	entailment
216	entailment
217	contradiction
218	entailment
219	neutral
220	neutral
221	neutral
222	entailment
223	entailment
224	entailment
225	entailment
226	contradiction
227	entailment
228	contradiction
229	entailment
230	contradiction
231	entailment
232	contradiction
233	entailment
234	contradiction
235	contradiction
236	entailment
237	entailment
238	entailment
239	contradiction
240	entailment
241	entailment
242	neutral
243	contradiction
244	contradiction
245	entailment
246	entailment
247	contradiction
248	entailment
249	entailment
250	entailment
251	neutral
252	entailment
253	entailment
254	entailment
255	entailment
256	entailment
257	entailment
258	neutral
259	entailment
260	entailment
261	contradiction
262	entailment
263	contradiction
264	entailment
265	entailment
266	contradiction
267	neutral
268	entailment
269	contradiction
270	neutral
271	contradiction
272	entailment
273	entailment
274	contradiction
275	contradiction
276	neutral
277	entailment
278	contradiction
279	neutral
280	neutral
281	contradiction
282	contradiction
283	entailment
284	contradiction
285	neutral
286	entailment
287	neutral
288	contradiction
289	contradiction
290	neutral
291	contradiction
292	contradiction
293	entailment
294	entailment
295	entailment
296	neutral
297	entailment
298	entailment
299	neutral
300	contradiction
301	entailment
302	contradiction
303	entailment
304	neutral
305	entailment
306	contradiction
307	entailment
308	contradiction
309	neutral
310	contradiction
311	neutral
312	neutral
313	neutral
314	contradiction
315	entailment
316	contradiction
317	entailment
318	entailment
319	contradiction
320	contradiction
321	contradiction
322	contradiction
323	entailment
324	entailment
325	contradiction
326	entailment
327	entailment
328	entailment
329	entailment
330	contradiction
331	entailment
332	contradiction
333	neutral
334	neutral
335	neutral
336	entailment
337	entailment
338	neutral
339	entailment
340	contradiction
341	entailment
342	neutral
343	entailment
344	entailment
345	contradiction
346	neutral
347	entailment
348	entailment
349	contradiction
350	contradiction
351	entailment
352	contradiction
353	entailment
354	entailment
355	contradiction
356	entailment
357	neutral
358	entailment
359	entailment
360	entailment
361	entailment
362	contradiction
363	contradiction
364	contradiction
365	contradiction
366	contradiction
367	neutral
368	contradiction
369	neutral
370	entailment
371	entailment
372	contradiction
373	entailment
374	contradiction
375	neutral
376	contradiction
377	entailment
378	contradiction
379	neutral
380	entailment
381	neutral
382	neutral
383	contradiction
384	neutral
385	contradiction
386	entailment
387	contradiction
388	contradiction
389	entailment
390	entailment
391	contradiction
392	contradiction
393	neutral
394	neutral
395	neutral
396	contradiction
