index	prediction
0	entailment
1	neutral
2	entailment
3	neutral
4	entailment
5	neutral
6	neutral
7	entailment
8	contradiction
9	entailment
10	contradiction
11	entailment
12	entailment
13	contradiction
14	neutral
15	contradiction
16	contradiction
17	neutral
18	contradiction
19	contradiction
20	neutral
21	neutral
22	contradiction
23	neutral
24	contradiction
25	entailment
26	contradiction
27	contradiction
28	neutral
29	entailment
30	contradiction
31	neutral
32	contradiction
33	entailment
34	contradiction
35	neutral
36	contradiction
37	entailment
38	entailment
39	contradiction
40	entailment
41	entailment
42	contradiction
43	contradiction
44	neutral
45	entailment
46	contradiction
47	entailment
48	neutral
49	neutral
50	contradiction
51	contradiction
52	contradiction
53	contradiction
54	entailment
55	entailment
56	neutral
57	entailment
58	neutral
59	neutral
60	neutral
61	contradiction
62	contradiction
63	entailment
64	entailment
65	entailment
66	contradiction
67	entailment
68	entailment
69	contradiction
70	neutral
71	contradiction
72	entailment
73	contradiction
74	neutral
75	contradiction
76	contradiction
77	neutral
78	entailment
79	contradiction
80	neutral
81	contradiction
82	contradiction
83	entailment
84	contradiction
85	contradiction
86	neutral
87	neutral
88	neutral
89	entailment
90	contradiction
91	neutral
92	contradiction
93	contradiction
94	contradiction
95	neutral
96	entailment
97	contradiction
98	neutral
99	contradiction
100	neutral
101	contradiction
102	entailment
103	contradiction
104	entailment
105	neutral
106	contradiction
107	entailment
108	neutral
109	neutral
110	contradiction
111	contradiction
112	contradiction
113	entailment
114	entailment
115	neutral
116	neutral
117	contradiction
118	contradiction
119	contradiction
120	contradiction
121	contradiction
122	entailment
123	entailment
124	neutral
125	entailment
126	neutral
127	contradiction
128	contradiction
129	neutral
130	contradiction
131	entailment
132	entailment
133	contradiction
134	entailment
135	contradiction
136	neutral
137	contradiction
138	contradiction
139	contradiction
140	contradiction
141	contradiction
142	entailment
143	neutral
144	contradiction
145	entailment
146	entailment
147	contradiction
148	entailment
149	contradiction
150	neutral
151	contradiction
152	entailment
153	entailment
154	contradiction
155	contradiction
156	entailment
157	contradiction
158	entailment
159	contradiction
160	contradiction
161	contradiction
162	neutral
163	entailment
164	neutral
165	entailment
166	entailment
167	contradiction
168	contradiction
169	neutral
170	contradiction
171	contradiction
172	entailment
173	contradiction
174	neutral
175	entailment
176	contradiction
177	entailment
178	entailment
179	contradiction
180	contradiction
181	entailment
182	neutral
183	neutral
184	contradiction
185	contradiction
186	neutral
187	entailment
188	contradiction
189	entailment
190	neutral
191	contradiction
192	neutral
193	contradiction
194	entailment
195	contradiction
196	neutral
197	neutral
198	contradiction
199	entailment
200	neutral
201	entailment
202	entailment
203	contradiction
204	entailment
205	neutral
206	entailment
207	contradiction
208	contradiction
209	entailment
210	neutral
211	contradiction
212	entailment
213	neutral
214	entailment
215	contradiction
216	entailment
217	contradiction
218	neutral
219	entailment
220	neutral
221	neutral
222	entailment
223	contradiction
224	neutral
225	entailment
226	contradiction
227	entailment
228	contradiction
229	contradiction
230	contradiction
231	contradiction
232	contradiction
233	neutral
234	contradiction
235	entailment
236	entailment
237	entailment
238	entailment
239	entailment
240	entailment
241	contradiction
242	contradiction
243	contradiction
244	contradiction
245	entailment
246	entailment
247	contradiction
248	neutral
249	neutral
250	entailment
251	neutral
252	entailment
253	contradiction
254	entailment
255	contradiction
256	neutral
257	entailment
258	neutral
259	entailment
260	neutral
261	contradiction
262	entailment
263	contradiction
264	neutral
265	neutral
266	contradiction
267	neutral
268	entailment
269	contradiction
270	neutral
271	neutral
272	entailment
273	neutral
274	neutral
275	contradiction
276	contradiction
277	entailment
278	contradiction
279	contradiction
280	neutral
281	contradiction
282	contradiction
283	entailment
284	contradiction
285	neutral
286	contradiction
287	neutral
288	neutral
289	entailment
290	contradiction
291	contradiction
292	contradiction
293	neutral
294	entailment
295	neutral
296	contradiction
297	entailment
298	contradiction
299	contradiction
300	contradiction
301	neutral
302	neutral
303	contradiction
304	neutral
305	entailment
306	contradiction
307	entailment
308	entailment
309	neutral
310	contradiction
311	neutral
312	neutral
313	neutral
314	contradiction
315	entailment
316	contradiction
317	entailment
318	entailment
319	neutral
320	contradiction
321	contradiction
322	contradiction
323	contradiction
324	neutral
325	contradiction
326	neutral
327	contradiction
328	neutral
329	entailment
330	contradiction
331	neutral
332	contradiction
333	neutral
334	neutral
335	entailment
336	entailment
337	neutral
338	neutral
339	entailment
340	contradiction
341	entailment
342	entailment
343	neutral
344	neutral
345	contradiction
346	neutral
347	entailment
348	entailment
349	entailment
350	entailment
351	contradiction
352	contradiction
353	entailment
354	neutral
355	contradiction
356	entailment
357	neutral
358	entailment
359	entailment
360	entailment
361	contradiction
362	entailment
363	neutral
364	contradiction
365	contradiction
366	contradiction
367	neutral
368	contradiction
369	neutral
370	contradiction
371	contradiction
372	contradiction
373	entailment
374	contradiction
375	contradiction
376	contradiction
377	entailment
378	contradiction
379	neutral
380	entailment
381	neutral
382	neutral
383	contradiction
384	neutral
385	contradiction
386	entailment
387	contradiction
388	neutral
389	entailment
390	entailment
391	contradiction
392	contradiction
