index	prediction
0	contradiction
1	contradiction
2	neutral
3	contradiction
4	contradiction
5	contradiction
6	contradiction
7	neutral
8	contradiction
9	neutral
10	neutral
11	neutral
12	neutral
13	contradiction
14	entailment
15	neutral
16	neutral
17	neutral
18	neutral
19	neutral
20	entailment
21	contradiction
22	entailment
23	contradiction
24	neutral
25	contradiction
26	entailment
27	entailment
28	entailment
29	contradiction
30	neutral
31	neutral
32	neutral
33	neutral
34	neutral
35	neutral
36	contradiction
37	contradiction
38	contradiction
39	neutral
40	entailment
41	neutral
42	neutral
43	neutral
44	neutral
45	neutral
46	neutral
47	neutral
48	neutral
49	neutral
50	entailment
51	entailment
52	neutral
53	neutral
54	entailment
55	entailment
56	neutral
57	neutral
58	neutral
59	neutral
60	neutral
61	neutral
62	neutral
63	neutral
64	neutral
65	contradiction
66	entailment
67	entailment
68	contradiction
69	neutral
70	neutral
71	neutral
72	entailment
73	entailment
74	entailment
75	neutral
76	contradiction
77	neutral
78	neutral
79	neutral
80	contradiction
81	neutral
82	entailment
83	entailment
84	entailment
85	entailment
86	entailment
87	neutral
88	entailment
89	neutral
90	neutral
91	neutral
92	neutral
93	neutral
94	entailment
95	entailment
96	entailment
97	entailment
98	neutral
99	neutral
100	neutral
101	neutral
102	entailment
103	entailment
104	entailment
105	entailment
106	entailment
107	entailment
108	entailment
109	entailment
110	entailment
111	entailment
112	entailment
113	entailment
114	entailment
115	entailment
116	entailment
117	entailment
118	contradiction
119	contradiction
120	neutral
121	neutral
122	neutral
123	neutral
124	neutral
125	entailment
126	entailment
127	neutral
128	entailment
129	entailment
130	neutral
131	neutral
132	neutral
133	neutral
134	entailment
135	entailment
136	entailment
137	entailment
138	entailment
139	entailment
140	entailment
141	entailment
142	entailment
143	entailment
144	neutral
145	neutral
146	neutral
147	neutral
148	neutral
149	neutral
150	entailment
151	entailment
152	entailment
153	entailment
154	entailment
155	neutral
156	neutral
157	neutral
158	entailment
159	neutral
160	entailment
161	entailment
162	entailment
163	entailment
164	contradiction
165	neutral
166	neutral
167	neutral
168	neutral
169	neutral
170	neutral
171	neutral
172	neutral
173	neutral
174	neutral
175	neutral
176	neutral
177	neutral
178	entailment
179	entailment
180	entailment
181	entailment
182	entailment
183	neutral
184	entailment
185	entailment
186	entailment
187	neutral
188	neutral
189	neutral
190	entailment
191	entailment
192	entailment
193	entailment
194	entailment
195	entailment
196	entailment
197	entailment
198	contradiction
199	neutral
200	neutral
201	neutral
202	neutral
203	neutral
204	neutral
205	neutral
206	entailment
207	entailment
208	neutral
209	entailment
210	entailment
211	entailment
212	neutral
213	contradiction
