index	prediction
0	entailment
1	not_entailment
2	entailment
3	entailment
4	not_entailment
5	not_entailment
6	entailment
7	not_entailment
8	not_entailment
9	entailment
10	not_entailment
11	entailment
12	not_entailment
13	not_entailment
14	entailment
15	not_entailment
16	not_entailment
17	entailment
18	not_entailment
19	not_entailment
20	entailment
21	not_entailment
22	not_entailment
23	not_entailment
24	entailment
25	not_entailment
26	entailment
27	not_entailment
28	not_entailment
29	entailment
30	not_entailment
31	entailment
32	entailment
33	entailment
34	not_entailment
35	not_entailment
36	not_entailment
37	entailment
38	not_entailment
39	entailment
40	entailment
41	entailment
42	entailment
43	entailment
44	entailment
45	entailment
46	entailment
47	not_entailment
48	not_entailment
49	not_entailment
50	not_entailment
51	entailment
52	entailment
53	entailment
54	not_entailment
55	not_entailment
56	entailment
57	entailment
58	entailment
59	entailment
60	not_entailment
61	not_entailment
62	entailment
63	entailment
64	entailment
65	not_entailment
66	entailment
67	entailment
68	entailment
69	entailment
70	entailment
71	not_entailment
72	entailment
73	not_entailment
74	not_entailment
75	not_entailment
76	entailment
77	not_entailment
78	entailment
79	entailment
80	entailment
81	entailment
82	not_entailment
83	not_entailment
84	not_entailment
85	entailment
86	not_entailment
87	entailment
88	entailment
89	not_entailment
90	not_entailment
91	entailment
92	not_entailment
93	not_entailment
94	entailment
95	entailment
96	entailment
97	entailment
98	entailment
99	not_entailment
100	entailment
101	entailment
102	not_entailment
103	not_entailment
104	entailment
105	not_entailment
106	not_entailment
107	entailment
108	not_entailment
109	not_entailment
110	not_entailment
111	not_entailment
112	entailment
113	not_entailment
114	entailment
115	not_entailment
116	entailment
117	not_entailment
118	entailment
119	entailment
120	not_entailment
121	entailment
122	not_entailment
123	not_entailment
124	not_entailment
125	entailment
126	entailment
127	not_entailment
128	not_entailment
129	not_entailment
130	not_entailment
131	not_entailment
132	not_entailment
133	entailment
134	entailment
135	entailment
136	not_entailment
137	entailment
138	not_entailment
139	entailment
140	entailment
141	not_entailment
142	not_entailment
143	entailment
144	not_entailment
145	entailment
146	not_entailment
147	entailment
148	not_entailment
149	not_entailment
150	entailment
151	entailment
152	not_entailment
153	not_entailment
154	not_entailment
155	not_entailment
156	not_entailment
157	entailment
158	entailment
159	not_entailment
160	not_entailment
161	not_entailment
162	entailment
163	not_entailment
164	not_entailment
165	not_entailment
166	not_entailment
167	entailment
168	not_entailment
169	not_entailment
170	not_entailment
171	not_entailment
172	not_entailment
173	entailment
174	not_entailment
175	not_entailment
176	entailment
177	entailment
178	entailment
179	not_entailment
180	entailment
181	not_entailment
182	entailment
183	entailment
184	entailment
185	not_entailment
186	not_entailment
187	not_entailment
188	not_entailment
189	not_entailment
190	not_entailment
191	entailment
192	not_entailment
193	entailment
194	entailment
195	entailment
196	entailment
197	not_entailment
198	not_entailment
199	not_entailment
200	entailment
201	entailment
202	not_entailment
203	not_entailment
204	entailment
205	not_entailment
206	not_entailment
207	entailment
208	not_entailment
209	not_entailment
210	entailment
211	entailment
212	entailment
213	not_entailment
214	not_entailment
215	entailment
216	entailment
217	entailment
218	entailment
219	not_entailment
220	not_entailment
221	not_entailment
222	not_entailment
223	not_entailment
224	not_entailment
225	not_entailment
226	entailment
227	not_entailment
228	not_entailment
229	not_entailment
230	not_entailment
231	not_entailment
232	not_entailment
233	not_entailment
234	not_entailment
235	entailment
236	not_entailment
237	not_entailment
238	not_entailment
239	entailment
240	not_entailment
241	entailment
242	not_entailment
243	entailment
244	entailment
245	not_entailment
246	not_entailment
247	entailment
248	not_entailment
249	not_entailment
250	not_entailment
251	entailment
252	entailment
253	not_entailment
254	entailment
255	entailment
256	not_entailment
257	entailment
258	entailment
259	not_entailment
260	not_entailment
261	not_entailment
262	not_entailment
263	not_entailment
264	entailment
265	entailment
266	entailment
267	entailment
268	not_entailment
269	not_entailment
270	not_entailment
271	not_entailment
272	not_entailment
273	entailment
274	not_entailment
275	not_entailment
276	not_entailment
277	entailment
278	entailment
279	not_entailment
280	entailment
281	not_entailment
282	entailment
283	entailment
284	entailment
285	entailment
286	not_entailment
287	entailment
288	not_entailment
289	not_entailment
290	not_entailment
291	not_entailment
292	not_entailment
293	entailment
294	not_entailment
295	entailment
296	not_entailment
297	not_entailment
298	entailment
299	entailment
300	not_entailment
301	not_entailment
302	entailment
303	not_entailment
304	entailment
305	not_entailment
306	not_entailment
307	not_entailment
308	not_entailment
309	not_entailment
310	not_entailment
311	not_entailment
312	not_entailment
313	entailment
314	entailment
315	not_entailment
316	entailment
317	not_entailment
318	not_entailment
319	entailment
320	not_entailment
321	entailment
322	not_entailment
323	entailment
324	not_entailment
325	not_entailment
326	entailment
327	entailment
328	entailment
329	entailment
330	not_entailment
331	not_entailment
332	not_entailment
333	not_entailment
334	entailment
335	not_entailment
336	entailment
337	not_entailment
338	not_entailment
339	not_entailment
340	not_entailment
341	not_entailment
342	entailment
343	not_entailment
344	entailment
345	entailment
346	entailment
347	not_entailment
348	not_entailment
349	entailment
350	entailment
351	entailment
352	not_entailment
353	entailment
354	not_entailment
355	not_entailment
356	not_entailment
357	not_entailment
358	entailment
359	not_entailment
360	not_entailment
361	entailment
362	entailment
363	not_entailment
364	not_entailment
365	entailment
366	entailment
367	not_entailment
368	entailment
369	entailment
370	not_entailment
371	entailment
372	entailment
373	entailment
374	not_entailment
375	not_entailment
376	entailment
377	entailment
378	not_entailment
379	entailment
380	not_entailment
381	not_entailment
382	not_entailment
383	not_entailment
384	not_entailment
385	not_entailment
386	not_entailment
387	not_entailment
388	not_entailment
389	not_entailment
390	not_entailment
391	entailment
392	not_entailment
393	entailment
394	not_entailment
395	not_entailment
396	not_entailment
397	entailment
398	not_entailment
399	not_entailment
400	not_entailment
401	entailment
402	entailment
403	entailment
404	not_entailment
405	not_entailment
406	not_entailment
407	entailment
408	entailment
409	entailment
410	entailment
411	entailment
412	not_entailment
413	not_entailment
414	entailment
415	not_entailment
416	entailment
417	not_entailment
418	entailment
419	entailment
420	not_entailment
