index	prediction
0	not_entailment
1	entailment
2	not_entailment
3	entailment
4	not_entailment
5	not_entailment
6	not_entailment
7	not_entailment
8	not_entailment
9	not_entailment
10	not_entailment
11	not_entailment
12	not_entailment
13	not_entailment
14	not_entailment
15	entailment
16	not_entailment
17	not_entailment
18	not_entailment
19	not_entailment
20	not_entailment
21	entailment
22	not_entailment
23	not_entailment
24	not_entailment
25	not_entailment
26	not_entailment
27	entailment
28	not_entailment
29	not_entailment
30	not_entailment
31	not_entailment
32	entailment
33	not_entailment
34	not_entailment
35	entailment
36	entailment
37	not_entailment
38	not_entailment
39	not_entailment
40	not_entailment
41	not_entailment
42	entailment
43	not_entailment
44	not_entailment
45	not_entailment
46	not_entailment
47	not_entailment
48	not_entailment
49	not_entailment
50	not_entailment
51	not_entailment
52	not_entailment
53	not_entailment
54	not_entailment
55	not_entailment
56	entailment
57	not_entailment
58	not_entailment
59	entailment
60	not_entailment
61	entailment
62	entailment
63	entailment
64	not_entailment
65	not_entailment
66	not_entailment
67	not_entailment
68	not_entailment
69	not_entailment
70	not_entailment
71	not_entailment
72	not_entailment
73	not_entailment
74	entailment
75	not_entailment
76	entailment
77	not_entailment
78	not_entailment
79	not_entailment
80	entailment
81	not_entailment
82	not_entailment
83	not_entailment
84	entailment
85	not_entailment
86	entailment
87	not_entailment
88	not_entailment
89	not_entailment
90	not_entailment
91	not_entailment
92	not_entailment
93	not_entailment
94	entailment
95	entailment
96	not_entailment
97	entailment
98	not_entailment
99	not_entailment
100	entailment
101	not_entailment
102	not_entailment
103	entailment
104	not_entailment
105	entailment
106	not_entailment
107	entailment
108	not_entailment
109	entailment
110	not_entailment
111	not_entailment
112	entailment
113	not_entailment
114	entailment
115	entailment
116	not_entailment
117	not_entailment
118	entailment
119	entailment
120	not_entailment
121	not_entailment
122	entailment
123	entailment
124	entailment
125	not_entailment
126	not_entailment
127	entailment
128	entailment
129	not_entailment
130	not_entailment
131	not_entailment
132	not_entailment
133	entailment
134	not_entailment
135	entailment
136	not_entailment
137	not_entailment
138	not_entailment
139	not_entailment
140	entailment
141	not_entailment
142	not_entailment
143	not_entailment
144	entailment
145	not_entailment
146	not_entailment
147	not_entailment
148	not_entailment
149	entailment
150	not_entailment
151	entailment
152	not_entailment
153	not_entailment
154	not_entailment
155	not_entailment
156	not_entailment
157	not_entailment
158	not_entailment
159	not_entailment
160	entailment
161	entailment
162	not_entailment
163	not_entailment
164	not_entailment
165	not_entailment
166	entailment
167	not_entailment
168	not_entailment
169	not_entailment
170	not_entailment
171	entailment
172	not_entailment
173	not_entailment
174	entailment
175	not_entailment
176	not_entailment
177	not_entailment
178	not_entailment
179	not_entailment
180	not_entailment
181	entailment
182	not_entailment
183	not_entailment
184	not_entailment
185	entailment
186	not_entailment
187	not_entailment
188	not_entailment
189	not_entailment
190	entailment
191	not_entailment
192	entailment
193	not_entailment
194	not_entailment
195	not_entailment
196	entailment
197	not_entailment
198	entailment
199	not_entailment
200	not_entailment
201	entailment
202	not_entailment
203	entailment
204	not_entailment
205	entailment
206	not_entailment
207	not_entailment
208	entailment
209	entailment
210	not_entailment
211	not_entailment
212	not_entailment
213	not_entailment
214	not_entailment
215	not_entailment
216	entailment
217	not_entailment
218	not_entailment
219	not_entailment
220	not_entailment
221	not_entailment
222	not_entailment
223	not_entailment
224	not_entailment
225	entailment
226	not_entailment
227	entailment
228	entailment
229	not_entailment
230	not_entailment
231	not_entailment
232	not_entailment
233	not_entailment
234	not_entailment
235	entailment
236	not_entailment
237	not_entailment
238	not_entailment
239	not_entailment
240	not_entailment
241	entailment
242	not_entailment
243	not_entailment
244	not_entailment
245	not_entailment
246	not_entailment
247	not_entailment
248	not_entailment
249	not_entailment
250	entailment
251	not_entailment
252	not_entailment
253	not_entailment
254	not_entailment
255	not_entailment
256	entailment
257	not_entailment
258	entailment
259	not_entailment
260	entailment
261	not_entailment
262	entailment
263	entailment
264	entailment
265	not_entailment
266	not_entailment
267	not_entailment
268	not_entailment
269	not_entailment
270	entailment
271	not_entailment
272	not_entailment
273	not_entailment
274	not_entailment
275	not_entailment
276	not_entailment
277	not_entailment
278	entailment
279	entailment
280	not_entailment
281	not_entailment
