index	prediction
0	2.223
1	2.223
2	2.336
3	2.223
4	2.223
5	2.223
6	2.223
7	2.223
8	2.223
9	2.223
10	2.223
11	2.223
12	2.223
13	2.223
14	2.223
15	2.223
16	2.223
17	2.223
18	2.223
19	2.223
20	2.223
21	2.486
22	2.399
23	2.223
24	2.223
25	2.223
26	2.223
27	2.223
28	2.223
29	2.223
30	2.223
31	2.223
32	2.223
33	2.223
34	2.223
35	2.223
36	2.223
37	2.223
38	2.223
39	2.223
40	2.223
41	2.223
42	2.223
43	2.223
44	2.223
45	2.223
46	2.223
47	2.223
48	2.223
49	2.725
50	2.223
51	2.223
52	2.223
53	2.223
54	2.223
55	2.223
56	2.223
57	2.223
58	2.440
59	2.223
60	2.725
61	2.223
62	2.245
63	2.223
64	2.223
65	2.223
66	2.223
67	2.223
68	2.223
69	2.223
70	2.223
71	2.223
72	2.223
73	2.283
74	2.562
75	2.223
76	2.223
77	2.223
78	2.486
79	2.223
80	2.223
81	2.223
82	2.223
83	2.486
84	2.223
85	2.486
86	2.533
87	2.223
88	2.725
89	2.223
90	2.223
91	2.469
92	2.223
93	2.399
94	2.223
95	2.725
96	2.223
97	2.246
98	2.442
99	2.223
100	2.223
101	2.223
102	2.205
103	2.205
104	2.271
105	2.473
106	2.223
107	2.223
108	2.223
109	2.503
110	2.223
111	2.725
112	2.563
113	2.223
114	2.223
115	2.223
116	2.486
117	2.223
118	2.223
119	2.223
120	2.486
121	2.223
122	2.246
123	2.883
124	2.223
125	2.223
126	2.246
127	2.223
128	2.399
129	2.223
130	2.399
131	2.486
132	2.223
133	2.223
134	2.223
135	2.223
136	2.223
137	2.223
138	2.223
139	2.262
140	2.223
141	2.223
142	2.223
143	2.223
144	2.223
145	2.246
146	2.223
147	2.223
148	2.223
149	2.223
150	2.223
151	2.223
152	2.223
153	2.223
154	2.223
155	2.486
156	2.223
157	2.223
158	2.223
159	2.223
160	2.223
161	2.223
162	2.223
163	2.223
164	2.725
165	2.486
166	2.223
167	2.245
168	2.205
169	2.223
170	2.223
171	2.246
172	2.223
173	2.223
174	2.223
175	2.223
176	2.223
177	2.442
178	2.486
179	2.223
180	2.223
181	2.223
182	2.486
183	2.223
184	2.223
185	2.223
186	2.223
187	2.223
188	2.223
189	2.223
190	2.223
191	2.223
192	2.223
193	2.438
194	2.223
195	2.223
196	2.704
197	2.223
198	2.223
199	2.725
200	2.486
201	2.223
202	2.245
203	2.223
204	2.223
205	2.725
206	2.223
207	2.223
208	2.223
209	2.223
210	2.223
211	2.223
212	2.486
213	2.223
214	2.246
215	2.223
216	2.399
217	2.223
218	2.725
219	2.743
220	2.223
221	2.486
222	2.271
223	2.914
224	2.223
225	2.223
226	2.442
227	2.822
228	2.223
229	2.223
230	2.223
231	2.223
232	2.223
233	2.223
234	2.223
235	2.486
236	2.223
237	2.223
238	2.223
239	2.223
240	2.725
241	2.223
242	2.223
243	2.725
244	3.068
245	2.223
246	2.223
247	2.486
248	2.358
249	2.223
250	2.602
251	2.223
252	2.223
253	2.358
254	2.223
255	2.410
256	2.536
257	2.223
258	3.224
259	2.725
260	2.399
261	2.223
262	2.223
263	3.215
264	2.223
265	2.400
266	2.265
267	3.217
268	2.223
269	2.399
270	2.223
271	2.223
272	2.410
273	2.223
274	2.640
275	2.223
276	2.223
277	2.358
278	2.399
279	2.223
280	2.645
281	2.223
282	2.223
283	2.223
284	2.223
285	2.515
286	2.223
287	2.223
288	2.223
289	2.417
290	3.188
291	2.442
292	2.223
293	2.486
294	2.725
295	2.223
296	2.442
297	2.380
298	2.486
299	2.478
300	2.223
301	2.455
302	2.486
303	2.879
304	2.545
305	2.442
306	3.654
307	2.279
308	2.596
309	2.476
310	2.399
311	2.223
312	2.486
313	2.821
314	2.401
315	2.223
316	2.442
317	2.223
318	2.223
319	2.223
320	2.223
321	2.223
322	2.661
323	2.358
324	2.311
325	2.366
326	2.358
327	2.442
328	2.342
329	2.223
330	3.076
331	2.658
