index	prediction
0	entailment
1	entailment
2	entailment
3	not_entailment
4	not_entailment
5	entailment
6	entailment
7	entailment
8	entailment
9	not_entailment
10	not_entailment
11	entailment
12	not_entailment
13	not_entailment
14	not_entailment
15	not_entailment
16	entailment
17	entailment
18	not_entailment
19	entailment
20	entailment
21	entailment
22	entailment
23	not_entailment
24	not_entailment
25	entailment
26	not_entailment
27	not_entailment
28	not_entailment
29	entailment
30	entailment
31	entailment
32	entailment
33	entailment
34	not_entailment
35	entailment
36	not_entailment
37	not_entailment
38	not_entailment
39	entailment
40	not_entailment
41	not_entailment
42	entailment
43	not_entailment
44	entailment
45	entailment
46	not_entailment
47	not_entailment
48	entailment
49	not_entailment
50	not_entailment
51	entailment
52	not_entailment
53	not_entailment
54	entailment
55	entailment
56	entailment
57	not_entailment
58	entailment
59	entailment
60	entailment
61	entailment
62	entailment
63	not_entailment
64	entailment
65	entailment
66	not_entailment
67	entailment
68	entailment
69	entailment
70	not_entailment
71	entailment
72	not_entailment
73	entailment
74	entailment
75	entailment
76	not_entailment
77	entailment
78	entailment
79	entailment
80	entailment
81	entailment
82	not_entailment
83	entailment
84	entailment
85	not_entailment
86	entailment
87	not_entailment
88	entailment
89	entailment
90	entailment
91	entailment
92	not_entailment
93	entailment
94	entailment
95	entailment
96	not_entailment
97	entailment
98	not_entailment
99	entailment
100	not_entailment
101	entailment
102	entailment
103	not_entailment
104	entailment
105	not_entailment
106	not_entailment
107	not_entailment
108	entailment
109	entailment
110	not_entailment
111	not_entailment
112	entailment
113	not_entailment
114	entailment
115	not_entailment
116	entailment
117	entailment
118	entailment
119	entailment
120	not_entailment
121	not_entailment
122	not_entailment
123	not_entailment
124	not_entailment
125	entailment
126	not_entailment
127	entailment
128	entailment
129	not_entailment
130	entailment
131	not_entailment
132	entailment
133	entailment
134	entailment
135	entailment
136	not_entailment
137	entailment
138	not_entailment
139	entailment
140	entailment
141	entailment
142	entailment
143	entailment
144	entailment
145	entailment
146	not_entailment
147	entailment
148	entailment
149	not_entailment
150	not_entailment
151	entailment
152	not_entailment
153	entailment
154	not_entailment
155	entailment
156	not_entailment
157	entailment
158	entailment
159	entailment
160	entailment
161	entailment
162	entailment
163	not_entailment
164	entailment
165	entailment
166	entailment
167	entailment
168	entailment
169	entailment
170	entailment
171	not_entailment
172	not_entailment
173	entailment
174	entailment
175	not_entailment
176	entailment
177	entailment
178	entailment
179	entailment
180	entailment
181	not_entailment
182	entailment
183	not_entailment
184	entailment
185	not_entailment
186	entailment
187	entailment
188	entailment
189	not_entailment
190	entailment
191	not_entailment
192	not_entailment
193	entailment
194	entailment
195	entailment
196	entailment
197	not_entailment
198	entailment
199	not_entailment
200	entailment
201	entailment
202	entailment
203	entailment
204	entailment
205	entailment
206	entailment
207	entailment
208	entailment
209	not_entailment
210	entailment
211	entailment
212	entailment
213	entailment
214	not_entailment
215	entailment
216	entailment
217	entailment
218	entailment
219	entailment
220	entailment
221	entailment
222	entailment
223	not_entailment
224	not_entailment
225	entailment
226	entailment
227	not_entailment
228	not_entailment
229	entailment
230	entailment
231	not_entailment
232	not_entailment
233	entailment
234	not_entailment
235	entailment
236	entailment
237	entailment
238	not_entailment
239	entailment
240	not_entailment
241	not_entailment
242	not_entailment
243	entailment
244	entailment
245	not_entailment
246	not_entailment
247	entailment
248	not_entailment
249	not_entailment
250	not_entailment
251	entailment
252	entailment
253	not_entailment
254	entailment
255	entailment
256	not_entailment
257	entailment
258	entailment
259	entailment
260	not_entailment
261	not_entailment
262	entailment
263	not_entailment
264	entailment
265	entailment
266	entailment
267	entailment
268	entailment
269	not_entailment
270	not_entailment
271	entailment
272	not_entailment
273	entailment
274	not_entailment
275	entailment
276	not_entailment
277	entailment
278	entailment
279	entailment
280	entailment
281	not_entailment
282	entailment
283	entailment
284	entailment
285	entailment
286	not_entailment
287	entailment
288	entailment
289	entailment
290	entailment
291	entailment
292	not_entailment
293	entailment
294	not_entailment
295	entailment
296	not_entailment
297	not_entailment
298	entailment
299	entailment
300	not_entailment
301	entailment
302	entailment
303	not_entailment
304	entailment
305	entailment
306	entailment
307	entailment
308	not_entailment
309	not_entailment
310	not_entailment
311	entailment
312	not_entailment
313	entailment
314	not_entailment
315	not_entailment
316	entailment
317	entailment
318	entailment
319	entailment
320	entailment
321	entailment
322	not_entailment
323	entailment
324	entailment
325	entailment
326	entailment
327	entailment
328	entailment
329	entailment
330	not_entailment
331	not_entailment
332	not_entailment
333	not_entailment
334	entailment
335	not_entailment
336	entailment
337	entailment
338	entailment
339	not_entailment
340	entailment
341	entailment
342	entailment
343	not_entailment
344	entailment
345	entailment
346	entailment
347	not_entailment
348	entailment
349	entailment
350	entailment
351	entailment
352	not_entailment
353	entailment
354	not_entailment
355	not_entailment
356	not_entailment
357	not_entailment
358	entailment
359	entailment
360	not_entailment
361	entailment
362	entailment
363	not_entailment
364	entailment
365	entailment
366	entailment
367	entailment
368	entailment
369	entailment
370	not_entailment
371	entailment
372	entailment
373	entailment
374	not_entailment
375	not_entailment
376	entailment
377	entailment
378	not_entailment
379	entailment
380	entailment
381	not_entailment
382	not_entailment
383	entailment
384	entailment
385	not_entailment
386	entailment
387	not_entailment
388	entailment
389	not_entailment
390	not_entailment
391	entailment
392	entailment
393	entailment
394	not_entailment
395	entailment
396	entailment
397	entailment
398	entailment
399	not_entailment
400	not_entailment
401	entailment
402	entailment
403	entailment
404	entailment
405	not_entailment
406	entailment
407	entailment
408	entailment
409	not_entailment
410	not_entailment
411	entailment
412	not_entailment
413	entailment
414	entailment
415	entailment
416	not_entailment
417	entailment
418	entailment
419	entailment
420	not_entailment
421	not_entailment
422	entailment
423	entailment
424	entailment
425	entailment
426	not_entailment
427	entailment
428	entailment
429	not_entailment
430	entailment
431	entailment
432	entailment
433	entailment
434	entailment
435	entailment
436	entailment
437	entailment
438	not_entailment
439	entailment
440	not_entailment
441	entailment
442	entailment
443	not_entailment
444	entailment
445	not_entailment
446	entailment
447	entailment
448	entailment
449	entailment
450	entailment
