index	prediction
0	not_entailment
1	not_entailment
2	not_entailment
3	not_entailment
4	not_entailment
5	not_entailment
6	not_entailment
7	not_entailment
8	not_entailment
9	not_entailment
10	not_entailment
11	not_entailment
12	not_entailment
13	not_entailment
14	not_entailment
15	not_entailment
16	not_entailment
17	not_entailment
18	not_entailment
19	not_entailment
20	not_entailment
21	not_entailment
22	not_entailment
23	not_entailment
24	entailment
25	not_entailment
26	not_entailment
27	not_entailment
28	not_entailment
29	not_entailment
30	not_entailment
31	not_entailment
32	not_entailment
33	not_entailment
34	not_entailment
35	not_entailment
36	not_entailment
37	not_entailment
38	not_entailment
39	not_entailment
40	entailment
41	not_entailment
42	not_entailment
43	not_entailment
44	not_entailment
45	not_entailment
46	not_entailment
47	not_entailment
48	not_entailment
49	not_entailment
50	not_entailment
51	not_entailment
52	not_entailment
53	not_entailment
54	not_entailment
55	not_entailment
56	not_entailment
57	not_entailment
58	not_entailment
59	entailment
60	entailment
61	not_entailment
62	not_entailment
63	not_entailment
64	not_entailment
65	not_entailment
66	not_entailment
67	not_entailment
68	not_entailment
69	not_entailment
70	entailment
71	not_entailment
72	not_entailment
73	not_entailment
74	not_entailment
75	not_entailment
76	not_entailment
77	not_entailment
78	not_entailment
79	not_entailment
80	not_entailment
81	not_entailment
82	not_entailment
83	not_entailment
84	not_entailment
85	not_entailment
86	not_entailment
87	not_entailment
88	not_entailment
89	not_entailment
90	not_entailment
91	not_entailment
92	not_entailment
93	not_entailment
94	not_entailment
95	not_entailment
96	not_entailment
97	not_entailment
98	not_entailment
99	not_entailment
100	not_entailment
101	not_entailment
102	not_entailment
103	not_entailment
104	not_entailment
105	not_entailment
106	not_entailment
107	not_entailment
108	not_entailment
109	not_entailment
110	not_entailment
111	not_entailment
112	not_entailment
113	not_entailment
114	not_entailment
115	not_entailment
116	not_entailment
117	not_entailment
118	not_entailment
119	not_entailment
120	not_entailment
121	entailment
122	not_entailment
123	not_entailment
124	not_entailment
125	not_entailment
126	not_entailment
127	not_entailment
128	not_entailment
129	not_entailment
130	not_entailment
131	not_entailment
132	not_entailment
133	not_entailment
134	not_entailment
135	not_entailment
136	not_entailment
137	not_entailment
138	not_entailment
139	not_entailment
140	not_entailment
141	not_entailment
142	not_entailment
143	not_entailment
144	not_entailment
145	not_entailment
146	not_entailment
147	not_entailment
148	not_entailment
149	not_entailment
150	entailment
151	not_entailment
152	not_entailment
153	not_entailment
154	not_entailment
155	not_entailment
156	not_entailment
157	not_entailment
158	entailment
159	not_entailment
160	not_entailment
161	not_entailment
162	not_entailment
163	not_entailment
164	not_entailment
165	not_entailment
166	not_entailment
167	not_entailment
168	not_entailment
169	not_entailment
170	not_entailment
171	not_entailment
172	not_entailment
173	not_entailment
174	not_entailment
175	not_entailment
176	not_entailment
177	not_entailment
178	not_entailment
179	not_entailment
180	not_entailment
181	not_entailment
182	entailment
183	not_entailment
184	not_entailment
185	not_entailment
186	not_entailment
187	not_entailment
188	not_entailment
189	not_entailment
190	not_entailment
191	not_entailment
192	not_entailment
193	not_entailment
194	not_entailment
195	not_entailment
196	not_entailment
197	not_entailment
198	not_entailment
199	not_entailment
200	not_entailment
201	not_entailment
202	not_entailment
203	not_entailment
204	entailment
205	not_entailment
206	not_entailment
207	not_entailment
208	not_entailment
209	not_entailment
210	not_entailment
211	not_entailment
212	not_entailment
213	not_entailment
214	not_entailment
215	not_entailment
216	not_entailment
217	not_entailment
218	not_entailment
219	not_entailment
220	not_entailment
221	not_entailment
222	not_entailment
223	not_entailment
224	not_entailment
225	not_entailment
226	not_entailment
227	not_entailment
228	not_entailment
229	not_entailment
230	not_entailment
231	not_entailment
232	not_entailment
233	not_entailment
234	not_entailment
235	not_entailment
236	not_entailment
237	not_entailment
238	not_entailment
239	entailment
240	not_entailment
241	not_entailment
242	not_entailment
243	not_entailment
244	entailment
245	not_entailment
246	not_entailment
247	not_entailment
248	not_entailment
249	not_entailment
250	not_entailment
251	not_entailment
252	not_entailment
253	not_entailment
254	not_entailment
255	entailment
256	not_entailment
257	not_entailment
258	not_entailment
259	not_entailment
260	not_entailment
261	not_entailment
262	not_entailment
263	not_entailment
264	not_entailment
265	not_entailment
266	not_entailment
267	not_entailment
268	not_entailment
269	not_entailment
270	not_entailment
271	not_entailment
272	not_entailment
273	entailment
274	not_entailment
275	not_entailment
276	not_entailment
277	not_entailment
278	not_entailment
279	not_entailment
280	not_entailment
281	not_entailment
282	not_entailment
283	not_entailment
284	not_entailment
285	not_entailment
286	not_entailment
287	not_entailment
288	not_entailment
289	not_entailment
290	not_entailment
291	not_entailment
292	not_entailment
293	not_entailment
294	not_entailment
295	entailment
296	not_entailment
297	not_entailment
298	entailment
299	not_entailment
300	not_entailment
301	not_entailment
302	not_entailment
303	not_entailment
304	not_entailment
305	not_entailment
306	not_entailment
307	not_entailment
308	not_entailment
309	not_entailment
310	not_entailment
311	not_entailment
312	not_entailment
313	not_entailment
314	not_entailment
315	not_entailment
316	not_entailment
317	not_entailment
318	not_entailment
319	not_entailment
320	not_entailment
321	not_entailment
322	not_entailment
323	not_entailment
324	not_entailment
325	not_entailment
326	not_entailment
327	entailment
328	not_entailment
329	not_entailment
330	not_entailment
331	not_entailment
332	not_entailment
333	entailment
334	not_entailment
335	not_entailment
336	not_entailment
337	not_entailment
338	not_entailment
339	not_entailment
340	not_entailment
341	not_entailment
342	not_entailment
343	not_entailment
344	not_entailment
345	entailment
346	entailment
347	not_entailment
348	not_entailment
349	not_entailment
350	not_entailment
351	not_entailment
352	not_entailment
353	not_entailment
354	not_entailment
355	not_entailment
356	not_entailment
357	not_entailment
358	not_entailment
359	not_entailment
360	not_entailment
361	entailment
362	not_entailment
363	not_entailment
364	not_entailment
365	not_entailment
366	not_entailment
367	not_entailment
368	not_entailment
369	not_entailment
370	not_entailment
371	not_entailment
372	not_entailment
373	entailment
374	not_entailment
375	not_entailment
376	not_entailment
377	not_entailment
378	not_entailment
379	not_entailment
380	not_entailment
381	not_entailment
382	not_entailment
383	not_entailment
384	not_entailment
385	not_entailment
386	not_entailment
387	not_entailment
388	not_entailment
389	not_entailment
390	not_entailment
391	not_entailment
392	not_entailment
393	not_entailment
394	not_entailment
395	not_entailment
396	not_entailment
397	not_entailment
398	not_entailment
399	not_entailment
400	not_entailment
401	not_entailment
402	not_entailment
403	not_entailment
404	not_entailment
405	entailment
406	not_entailment
407	not_entailment
408	not_entailment
409	not_entailment
410	not_entailment
411	not_entailment
412	not_entailment
413	not_entailment
414	not_entailment
415	not_entailment
416	not_entailment
417	not_entailment
418	not_entailment
419	not_entailment
420	not_entailment
421	not_entailment
422	not_entailment
423	not_entailment
424	not_entailment
425	not_entailment
426	not_entailment
427	entailment
428	not_entailment
429	not_entailment
430	not_entailment
431	not_entailment
432	not_entailment
433	not_entailment
434	not_entailment
435	not_entailment
436	not_entailment
437	entailment
438	not_entailment
439	not_entailment
440	not_entailment
441	not_entailment
442	not_entailment
443	not_entailment
444	not_entailment
445	not_entailment
446	not_entailment
447	not_entailment
448	not_entailment
449	not_entailment
450	not_entailment
451	not_entailment
452	entailment
453	not_entailment
454	not_entailment
455	not_entailment
456	entailment
457	not_entailment
458	not_entailment
459	entailment
460	not_entailment
461	entailment
462	not_entailment
463	entailment
464	not_entailment
465	entailment
466	not_entailment
467	not_entailment
468	not_entailment
469	not_entailment
470	not_entailment
471	not_entailment
472	not_entailment
473	not_entailment
474	entailment
475	not_entailment
476	not_entailment
477	not_entailment
478	not_entailment
479	not_entailment
480	not_entailment
481	not_entailment
482	not_entailment
483	not_entailment
484	not_entailment
485	not_entailment
486	entailment
487	not_entailment
488	not_entailment
489	not_entailment
490	not_entailment
491	not_entailment
492	not_entailment
493	not_entailment
494	not_entailment
495	not_entailment
496	not_entailment
497	not_entailment
498	entailment
499	not_entailment
500	not_entailment
501	not_entailment
502	not_entailment
503	not_entailment
504	not_entailment
505	not_entailment
506	not_entailment
507	not_entailment
508	not_entailment
509	not_entailment
510	not_entailment
511	not_entailment
512	not_entailment
513	not_entailment
514	entailment
515	not_entailment
516	entailment
517	not_entailment
518	not_entailment
519	not_entailment
520	entailment
521	not_entailment
522	not_entailment
523	entailment
524	entailment
525	not_entailment
526	not_entailment
527	entailment
528	not_entailment
529	not_entailment
530	not_entailment
531	not_entailment
532	not_entailment
533	not_entailment
534	not_entailment
535	not_entailment
536	not_entailment
537	not_entailment
538	not_entailment
539	not_entailment
540	not_entailment
541	not_entailment
542	not_entailment
543	not_entailment
544	not_entailment
545	entailment
546	not_entailment
547	entailment
548	not_entailment
549	not_entailment
550	entailment
551	not_entailment
552	not_entailment
553	not_entailment
554	not_entailment
555	entailment
556	not_entailment
557	entailment
558	not_entailment
559	entailment
560	not_entailment
561	not_entailment
562	not_entailment
563	not_entailment
564	not_entailment
565	not_entailment
566	not_entailment
567	not_entailment
568	not_entailment
569	not_entailment
570	not_entailment
571	not_entailment
572	not_entailment
573	not_entailment
574	not_entailment
575	not_entailment
576	not_entailment
577	not_entailment
578	not_entailment
579	not_entailment
580	not_entailment
581	not_entailment
582	entailment
583	not_entailment
584	not_entailment
585	not_entailment
586	not_entailment
587	not_entailment
588	entailment
589	not_entailment
590	not_entailment
591	not_entailment
592	not_entailment
593	not_entailment
594	not_entailment
595	entailment
596	not_entailment
597	not_entailment
598	not_entailment
