index	prediction
0	0.942
1	2.280
2	1.313
3	1.513
4	1.663
5	2.732
6	1.609
7	2.314
8	2.239
9	1.834
10	1.834
11	3.347
12	0.640
13	2.517
14	1.041
15	2.390
16	3.985
17	2.356
18	1.589
19	1.429
20	2.946
21	1.364
22	2.656
23	1.975
24	1.772
25	1.279
26	1.578
27	2.255
28	0.577
29	2.669
30	3.483
31	1.852
32	2.340
33	2.884
34	2.717
35	1.779
36	0.978
37	2.915
38	1.756
39	1.395
40	2.449
41	2.369
42	2.238
43	1.635
44	2.484
45	0.803
46	1.271
47	2.081
48	2.561
49	1.322
50	1.096
51	1.273
52	1.228
53	1.532
54	2.471
55	1.503
56	2.530
57	1.245
58	1.839
59	2.218
60	2.218
61	1.095
62	2.622
63	1.456
64	3.037
65	0.615
66	1.212
67	1.441
68	1.948
69	1.142
70	1.031
71	2.169
72	1.440
73	2.532
74	2.302
75	0.914
76	2.855
77	1.254
78	1.677
79	3.619
80	1.879
81	1.417
82	3.011
83	3.307
84	1.252
85	1.964
86	3.547
87	1.524
88	1.607
89	2.809
90	2.271
91	2.538
92	1.421
93	2.124
94	2.146
95	2.329
96	2.478
97	1.561
98	2.789
99	1.215
100	1.726
101	2.926
102	2.918
103	2.231
104	1.371
105	2.091
106	2.237
107	2.139
108	2.739
109	1.919
110	2.327
111	2.340
112	3.352
113	3.247
114	1.544
115	1.920
116	3.656
117	0.952
118	1.707
119	2.448
120	2.820
121	2.162
122	2.464
123	2.120
124	2.831
125	2.068
126	1.609
127	2.151
128	2.824
129	2.007
130	2.039
131	2.423
132	1.775
133	2.752
134	0.998
135	2.961
136	2.851
137	2.920
138	2.229
139	3.071
140	2.607
141	2.020
142	1.970
143	3.042
144	2.684
145	2.014
146	2.879
147	2.147
148	2.060
149	0.759
150	1.319
151	1.113
152	2.443
153	2.404
154	0.924
155	1.776
156	1.906
157	0.606
158	3.223
159	0.993
160	2.238
161	2.606
162	2.286
163	2.382
164	2.156
165	3.096
166	2.134
167	1.342
168	2.300
169	2.482
170	2.145
171	2.002
172	2.952
173	1.747
174	1.302
175	1.548
176	2.656
177	1.420
178	2.174
179	1.019
180	1.038
181	2.786
182	1.854
183	1.059
184	3.018
185	1.542
186	0.687
187	1.665
188	1.485
189	2.632
190	2.211
191	1.793
192	1.620
193	1.850
194	1.690
195	3.396
196	2.132
197	1.845
198	0.619
199	2.662
200	1.143
201	1.218
202	2.593
203	2.380
204	2.729
205	0.830
206	2.941
207	0.885
208	2.269
209	2.634
210	3.187
211	1.626
212	1.431
213	1.454
214	2.840
215	0.921
216	1.843
217	3.280
218	2.790
219	2.112
220	2.315
221	2.405
222	3.893
223	3.168
224	2.240
225	2.272
226	2.187
227	2.520
228	1.611
229	1.975
230	2.917
231	1.756
232	3.046
233	1.141
234	1.621
235	2.848
236	1.397
237	1.108
238	2.638
239	2.026
240	1.526
241	1.348
242	1.372
243	1.665
244	2.313
245	2.278
246	2.708
247	2.773
248	1.637
249	1.312
250	1.685
251	2.737
252	2.802
253	3.296
254	1.368
255	2.159
256	2.370
257	1.509
258	2.501
259	2.986
260	3.152
261	2.377
262	2.633
263	2.395
264	2.432
265	2.298
266	2.580
267	2.890
268	1.948
269	2.887
270	2.900
271	2.598
272	2.056
273	2.791
274	2.923
275	2.794
276	1.568
277	2.534
278	1.801
279	2.366
280	2.638
281	2.763
282	2.856
283	3.044
284	4.031
285	3.331
286	2.229
287	2.013
288	3.764
289	1.923
290	2.730
291	1.539
292	2.787
293	3.156
294	3.029
295	2.377
296	2.333
297	1.701
298	2.309
299	2.654
300	2.781
301	3.369
302	1.763
303	2.576
304	2.044
305	2.908
306	2.418
307	3.892
308	3.974
309	3.975
310	1.791
311	1.895
312	1.761
313	2.509
314	1.995
315	2.467
316	3.540
317	2.223
318	1.375
319	2.422
320	2.695
321	2.516
322	1.960
323	2.856
324	2.934
325	1.971
326	3.261
327	3.315
328	3.761
329	2.871
330	2.817
331	2.914
332	2.737
333	2.737
334	1.515
335	2.029
336	3.501
337	1.875
338	2.380
339	1.816
340	2.036
341	3.419
342	3.213
343	1.908
344	3.076
345	1.903
346	2.981
347	2.863
348	2.555
349	1.947
350	3.192
351	3.032
352	2.253
353	1.893
354	1.989
355	1.900
356	2.561
357	2.430
358	1.988
359	2.901
360	3.161
361	2.627
362	2.967
363	3.081
364	2.676
365	2.323
366	2.245
367	2.046
368	2.860
369	1.964
370	2.581
371	3.596
372	1.917
373	2.255
374	2.875
375	2.084
376	3.144
377	1.213
378	2.051
379	0.892
380	2.751
381	1.909
382	2.662
383	1.964
384	1.731
385	2.260
386	2.838
387	1.702
388	2.799
389	2.563
390	2.586
391	2.740
392	2.775
393	2.629
394	2.661
395	1.858
396	1.748
397	2.701
398	2.416
399	2.625
400	2.838
401	1.772
402	2.902
403	2.545
404	2.942
405	2.424
406	1.518
407	3.053
408	2.895
409	2.666
410	3.474
411	2.656
412	2.646
413	2.291
414	1.938
415	1.626
416	2.515
417	2.172
418	3.243
419	3.531
420	3.473
421	1.166
422	2.841
423	2.345
424	1.782
425	2.986
426	3.525
427	2.910
428	2.733
429	3.013
430	2.287
431	3.036
432	2.305
433	2.824
434	0.912
435	2.643
436	2.890
437	2.964
438	2.903
439	1.488
440	2.215
441	2.103
442	2.149
443	3.240
444	2.521
445	2.868
446	2.109
447	2.344
448	1.760
449	1.902
450	2.949
451	3.873
452	1.918
453	1.564
454	3.903
455	2.828
456	2.216
457	3.152
458	3.713
459	2.585
460	2.466
461	1.276
462	3.287
463	1.338
464	2.078
465	2.809
466	1.047
467	2.602
468	1.430
469	1.665
470	3.592
471	3.309
472	2.025
473	1.789
474	3.077
475	3.093
476	1.452
477	2.165
478	1.938
479	1.583
480	2.478
481	2.523
482	2.716
483	2.338
484	2.013
485	1.341
486	3.265
487	2.398
488	2.568
489	2.700
490	3.234
491	1.400
492	3.531
493	2.572
494	3.394
495	2.464
496	2.356
497	1.988
498	1.850
499	4.049
500	2.331
501	1.521
502	2.198
503	1.770
504	1.672
505	2.831
506	0.980
507	1.672
508	1.205
509	2.556
510	1.992
511	2.867
512	2.523
513	1.601
514	2.576
515	2.712
516	1.614
517	3.219
518	2.434
519	1.780
520	1.681
521	2.906
522	2.716
523	3.804
524	3.236
525	2.320
526	2.187
527	3.152
528	2.699
529	1.799
530	1.734
531	2.411
532	1.384
533	1.308
534	1.189
535	1.052
536	2.143
537	1.862
538	1.805
539	2.602
540	2.879
541	1.368
542	2.262
543	3.898
544	3.076
545	1.656
546	1.290
547	2.788
548	1.773
549	1.220
550	2.245
551	2.262
552	1.976
553	1.765
554	2.792
555	2.729
556	1.650
557	1.479
558	2.230
559	1.573
560	3.016
561	2.366
562	1.450
563	2.563
564	3.182
565	3.354
566	2.895
567	1.805
568	2.230
569	1.521
570	1.560
571	1.833
572	1.914
573	2.621
574	2.208
575	2.693
576	2.981
577	2.373
578	1.908
579	2.030
580	1.591
581	3.248
582	3.231
583	1.912
584	2.418
585	2.953
586	3.029
587	1.927
588	1.813
589	2.137
590	1.740
591	2.948
592	3.865
593	1.651
594	1.867
595	3.399
596	2.521
597	2.902
598	3.696
599	2.714
600	1.525
601	2.139
602	2.129
603	1.208
604	3.312
605	2.552
606	2.401
607	1.979
608	1.943
609	2.416
610	3.387
611	2.616
612	2.910
613	1.325
614	2.108
615	1.713
616	1.950
617	1.743
618	1.488
619	2.424
620	2.023
621	2.406
622	1.562
623	2.616
624	2.144
625	2.674
626	2.954
627	2.611
628	3.069
629	2.350
630	2.692
631	2.183
632	2.492
633	2.509
634	2.643
635	2.172
636	2.777
637	2.571
638	2.529
639	2.235
640	3.077
641	2.317
642	3.022
643	3.265
644	2.645
645	2.748
646	2.731
647	2.796
648	3.095
649	1.845
650	2.069
651	3.246
652	2.031
653	2.197
654	2.417
655	2.552
656	3.183
657	2.117
658	2.536
659	1.754
660	2.976
661	1.778
662	2.831
663	2.934
664	1.864
665	2.807
666	2.484
667	1.671
668	1.446
669	2.653
670	2.103
671	1.712
672	2.628
673	2.247
674	1.867
675	1.225
676	2.439
677	2.630
678	2.588
679	2.648
680	2.697
681	2.653
682	2.597
683	1.839
684	1.778
685	3.140
686	2.049
687	1.708
688	3.245
689	2.772
690	2.875
691	2.843
692	2.818
693	2.835
694	1.663
695	2.504
696	2.491
697	2.114
698	2.135
699	2.166
700	2.904
701	2.794
702	2.519
703	2.986
704	2.757
705	2.781
706	1.705
707	2.626
708	2.544
709	2.673
710	2.560
711	2.261
712	2.254
713	2.368
714	2.563
715	2.868
716	2.498
717	2.101
718	2.038
719	2.253
720	2.879
721	2.473
722	2.579
723	2.499
724	2.700
725	2.113
726	2.788
727	2.917
728	2.351
729	2.998
730	1.948
731	2.426
732	2.631
733	1.968
734	2.600
735	2.461
736	2.859
737	2.281
738	1.689
739	2.865
740	2.490
741	2.558
742	2.323
743	2.767
744	2.668
745	2.114
746	2.013
747	2.139
748	2.793
749	3.213
750	2.214
751	2.984
752	2.384
753	2.079
754	3.192
755	2.561
756	2.565
757	3.137
758	2.605
759	2.633
760	2.107
761	1.867
762	1.876
763	2.127
764	2.342
765	2.476
766	2.979
767	3.153
768	2.844
769	1.286
770	2.930
771	2.333
772	3.013
773	2.645
774	2.920
775	3.226
776	2.605
777	2.086
778	3.254
779	2.913
780	2.144
781	2.526
782	3.293
783	2.963
784	2.015
785	2.353
786	2.880
787	1.999
788	3.170
789	2.652
790	2.408
791	2.346
792	2.229
793	2.392
794	2.545
795	2.763
796	2.748
797	2.603
798	2.483
799	2.343
800	2.844
801	2.618
802	2.820
803	2.151
804	2.594
805	2.038
806	2.568
807	2.818
808	2.551
809	2.031
810	2.706
811	2.164
812	1.723
813	2.000
814	2.051
815	3.171
816	3.156
817	2.522
818	2.064
819	2.344
820	2.837
821	2.728
822	3.006
823	2.641
824	2.801
825	2.386
826	1.784
827	2.881
828	2.096
829	2.707
830	2.560
831	1.938
832	2.655
833	3.156
834	3.004
835	2.881
836	1.897
837	2.026
838	2.954
839	2.049
840	3.214
841	2.630
842	2.477
843	1.633
844	2.662
845	1.963
846	3.011
847	2.063
848	2.648
849	3.004
850	2.489
851	2.731
852	1.724
853	2.176
854	2.567
855	2.706
856	2.793
857	2.683
858	2.076
859	2.882
860	1.860
861	1.613
862	2.421
863	2.383
864	2.249
865	2.324
866	2.627
867	2.827
868	1.839
869	1.690
870	2.833
871	2.993
872	2.765
873	2.754
874	2.553
875	2.455
876	2.792
877	3.335
878	1.252
879	2.425
880	2.996
881	3.744
882	3.449
883	3.261
884	2.951
885	3.200
886	2.712
887	2.881
888	2.922
889	2.748
890	3.043
891	4.055
892	2.763
893	2.044
894	3.053
895	3.000
896	3.011
897	2.773
898	3.227
899	3.056
900	3.415
901	2.804
902	1.985
903	3.075
904	3.260
905	2.937
906	3.142
907	2.052
908	3.089
909	3.183
910	2.949
911	2.820
912	2.871
913	2.687
914	4.213
915	3.128
916	2.737
917	3.125
918	3.312
919	2.759
920	2.846
921	2.714
922	2.471
923	3.264
924	4.142
925	2.761
926	1.982
927	2.909
928	2.800
929	3.416
930	2.826
931	3.036
932	3.042
933	3.011
934	1.710
935	1.719
936	2.551
937	3.218
938	2.969
939	3.031
940	2.809
941	2.882
942	2.395
943	2.741
944	2.585
945	3.070
946	3.232
947	2.139
948	3.041
949	3.340
950	3.447
951	1.833
952	3.193
953	3.076
954	3.370
955	2.468
956	2.894
957	2.204
958	4.652
959	2.188
960	2.662
961	2.666
962	3.205
963	2.411
964	2.433
965	3.642
966	2.967
967	2.329
968	2.894
969	3.069
970	2.254
971	2.845
972	2.922
973	3.183
974	3.068
975	2.636
976	2.449
977	3.011
978	3.127
979	3.577
980	3.241
981	3.557
982	2.659
983	2.187
984	3.166
985	3.143
986	3.105
987	2.967
988	2.691
989	3.402
990	3.792
991	2.850
992	3.022
993	3.089
994	2.753
995	3.121
996	2.747
997	2.243
998	2.977
999	3.130
1000	2.798
1001	2.300
1002	2.839
1003	3.709
1004	3.441
1005	3.277
1006	3.871
1007	2.767
1008	2.742
1009	2.739
1010	2.877
1011	3.141
1012	3.759
1013	3.406
1014	2.604
1015	3.217
1016	2.981
1017	2.483
1018	3.518
1019	4.007
1020	3.075
1021	2.277
1022	3.257
1023	2.984
1024	3.386
1025	2.773
1026	2.890
1027	2.997
1028	3.203
1029	2.386
1030	3.168
