index	prediction
0	entailment
1	entailment
2	neutral
3	neutral
4	neutral
5	neutral
6	neutral
7	neutral
8	contradiction
9	neutral
10	neutral
11	entailment
12	entailment
13	entailment
14	contradiction
15	contradiction
16	neutral
17	entailment
18	entailment
19	entailment
20	contradiction
21	contradiction
22	contradiction
23	contradiction
24	contradiction
25	contradiction
26	entailment
27	entailment
28	neutral
29	neutral
30	entailment
31	entailment
32	neutral
33	entailment
34	entailment
35	entailment
36	contradiction
37	contradiction
38	neutral
39	neutral
40	entailment
41	neutral
42	neutral
43	entailment
44	neutral
45	entailment
46	entailment
47	entailment
48	neutral
49	neutral
50	entailment
51	entailment
52	entailment
53	neutral
54	entailment
55	entailment
56	neutral
57	entailment
58	neutral
59	entailment
60	neutral
61	entailment
62	neutral
63	entailment
64	neutral
65	neutral
66	entailment
67	entailment
68	contradiction
69	neutral
70	neutral
71	neutral
72	entailment
73	entailment
74	entailment
75	entailment
76	entailment
77	entailment
78	neutral
79	neutral
80	neutral
81	neutral
82	entailment
83	entailment
84	entailment
85	entailment
86	entailment
87	neutral
88	entailment
89	neutral
90	neutral
91	entailment
92	entailment
93	entailment
94	entailment
95	entailment
96	entailment
97	entailment
98	entailment
99	entailment
100	entailment
101	entailment
102	entailment
103	entailment
104	entailment
105	entailment
106	neutral
107	entailment
108	entailment
109	entailment
110	entailment
111	entailment
112	entailment
113	entailment
114	entailment
115	entailment
116	entailment
117	entailment
118	contradiction
119	contradiction
120	entailment
121	entailment
122	entailment
123	entailment
124	neutral
125	contradiction
126	entailment
127	neutral
128	entailment
129	contradiction
130	entailment
131	neutral
132	entailment
133	contradiction
134	entailment
135	entailment
136	entailment
137	entailment
138	entailment
139	entailment
140	entailment
141	entailment
142	entailment
143	entailment
144	entailment
145	neutral
146	entailment
147	neutral
148	entailment
149	neutral
150	entailment
151	neutral
152	entailment
153	entailment
154	entailment
155	contradiction
156	neutral
157	entailment
158	entailment
159	neutral
160	entailment
161	entailment
162	entailment
163	entailment
164	entailment
165	neutral
166	entailment
167	entailment
168	neutral
169	entailment
170	neutral
171	contradiction
172	neutral
173	contradiction
174	neutral
175	contradiction
176	neutral
177	contradiction
178	entailment
179	entailment
180	entailment
181	entailment
182	entailment
183	neutral
184	entailment
185	entailment
186	contradiction
187	contradiction
188	neutral
189	neutral
190	entailment
191	entailment
192	entailment
193	entailment
194	entailment
195	entailment
196	entailment
197	entailment
198	entailment
199	neutral
200	entailment
201	neutral
202	entailment
203	neutral
204	neutral
205	neutral
206	entailment
207	contradiction
208	entailment
209	entailment
210	entailment
211	entailment
212	entailment
213	neutral
214	contradiction
215	neutral
216	entailment
217	neutral
218	entailment
219	entailment
220	entailment
221	entailment
222	neutral
223	neutral
224	entailment
225	entailment
226	entailment
227	entailment
228	entailment
229	entailment
230	entailment
231	entailment
232	entailment
233	neutral
234	entailment
235	neutral
236	entailment
237	entailment
238	entailment
239	entailment
240	entailment
241	entailment
242	entailment
243	entailment
244	entailment
245	entailment
246	entailment
247	entailment
248	entailment
249	neutral
250	entailment
251	neutral
252	contradiction
253	neutral
254	entailment
255	neutral
256	contradiction
257	neutral
258	entailment
259	neutral
260	entailment
261	entailment
262	entailment
263	entailment
264	entailment
265	entailment
266	entailment
267	entailment
268	contradiction
269	contradiction
270	entailment
271	entailment
272	entailment
273	neutral
274	entailment
275	neutral
276	entailment
277	neutral
278	contradiction
279	neutral
280	entailment
281	neutral
282	entailment
283	neutral
284	neutral
285	entailment
286	neutral
287	entailment
288	contradiction
289	entailment
290	entailment
291	neutral
292	neutral
293	entailment
294	entailment
295	entailment
296	contradiction
297	neutral
298	entailment
299	entailment
300	neutral
301	entailment
302	entailment
303	entailment
304	entailment
305	entailment
306	entailment
307	neutral
308	neutral
309	neutral
310	entailment
311	entailment
312	entailment
313	entailment
314	entailment
315	entailment
316	entailment
317	entailment
318	neutral
319	entailment
320	entailment
321	entailment
322	contradiction
323	neutral
324	entailment
325	neutral
326	entailment
327	neutral
328	entailment
329	neutral
330	contradiction
331	entailment
332	neutral
333	entailment
334	entailment
335	neutral
336	entailment
337	entailment
338	contradiction
339	contradiction
340	entailment
341	entailment
342	contradiction
343	contradiction
344	contradiction
345	neutral
346	entailment
347	entailment
348	entailment
349	neutral
350	neutral
351	entailment
352	entailment
353	entailment
354	neutral
355	neutral
356	contradiction
357	contradiction
358	entailment
359	entailment
360	contradiction
361	contradiction
362	entailment
363	neutral
364	contradiction
365	contradiction
366	entailment
367	neutral
368	contradiction
369	neutral
370	entailment
371	entailment
372	entailment
373	entailment
374	entailment
375	contradiction
376	contradiction
377	contradiction
378	contradiction
379	contradiction
380	entailment
381	entailment
382	entailment
383	entailment
384	entailment
385	entailment
386	neutral
387	contradiction
388	neutral
389	contradiction
390	entailment
391	neutral
392	entailment
393	neutral
394	entailment
395	neutral
396	contradiction
397	neutral
398	contradiction
399	neutral
400	neutral
401	contradiction
402	entailment
403	neutral
404	contradiction
405	contradiction
406	entailment
407	entailment
408	contradiction
409	contradiction
410	entailment
411	neutral
412	contradiction
413	contradiction
414	contradiction
415	contradiction
416	entailment
417	neutral
418	entailment
419	entailment
420	entailment
421	entailment
422	entailment
423	entailment
424	entailment
425	entailment
426	contradiction
427	neutral
428	contradiction
429	contradiction
430	entailment
431	entailment
432	neutral
433	entailment
434	neutral
435	neutral
436	entailment
437	entailment
438	entailment
439	entailment
440	entailment
441	entailment
442	entailment
443	entailment
444	entailment
445	entailment
446	entailment
447	neutral
448	entailment
449	entailment
450	entailment
451	entailment
452	entailment
453	entailment
454	entailment
455	neutral
456	entailment
457	neutral
458	entailment
459	neutral
460	neutral
461	neutral
462	entailment
463	entailment
464	entailment
465	entailment
466	neutral
467	entailment
468	neutral
469	neutral
470	neutral
471	neutral
472	neutral
473	neutral
474	neutral
475	neutral
476	neutral
477	neutral
478	entailment
479	neutral
480	neutral
481	entailment
482	entailment
483	entailment
484	entailment
485	entailment
486	entailment
487	entailment
488	entailment
489	entailment
490	entailment
491	entailment
492	entailment
