index	prediction
0	entailment
1	neutral
2	entailment
3	neutral
4	entailment
5	neutral
6	contradiction
7	entailment
8	neutral
9	entailment
10	neutral
11	entailment
12	contradiction
13	contradiction
14	neutral
15	contradiction
16	entailment
17	entailment
18	contradiction
19	entailment
20	entailment
21	contradiction
22	contradiction
23	contradiction
24	contradiction
25	neutral
26	contradiction
27	entailment
28	entailment
29	entailment
30	contradiction
31	entailment
32	contradiction
33	entailment
34	entailment
35	neutral
36	contradiction
37	contradiction
38	neutral
39	neutral
40	neutral
41	entailment
42	neutral
43	contradiction
44	entailment
45	entailment
46	contradiction
47	contradiction
48	neutral
49	entailment
50	entailment
51	contradiction
52	neutral
53	contradiction
54	entailment
55	entailment
56	entailment
57	entailment
58	entailment
59	entailment
60	entailment
61	neutral
62	contradiction
63	entailment
64	entailment
65	entailment
66	entailment
67	entailment
68	neutral
69	entailment
70	contradiction
71	neutral
72	entailment
73	contradiction
74	entailment
75	entailment
76	contradiction
77	entailment
78	entailment
79	contradiction
80	entailment
81	contradiction
82	contradiction
83	entailment
84	entailment
85	entailment
86	neutral
87	neutral
88	entailment
89	contradiction
90	neutral
91	neutral
92	neutral
93	entailment
94	entailment
95	entailment
96	entailment
97	entailment
98	neutral
99	contradiction
100	contradiction
101	contradiction
102	entailment
103	contradiction
104	entailment
105	neutral
106	neutral
107	entailment
108	neutral
109	entailment
110	contradiction
111	neutral
112	contradiction
113	entailment
114	entailment
115	entailment
116	neutral
117	entailment
118	neutral
119	contradiction
120	contradiction
121	entailment
122	entailment
123	entailment
124	contradiction
125	entailment
126	neutral
127	neutral
128	entailment
129	entailment
130	contradiction
131	entailment
132	entailment
133	entailment
134	neutral
135	entailment
136	neutral
137	neutral
138	contradiction
139	entailment
140	contradiction
141	contradiction
142	entailment
143	entailment
144	neutral
145	entailment
146	entailment
147	entailment
148	entailment
149	contradiction
150	neutral
151	contradiction
152	entailment
153	entailment
154	entailment
155	entailment
156	entailment
157	entailment
158	entailment
159	contradiction
160	contradiction
161	contradiction
162	entailment
163	contradiction
164	neutral
165	entailment
166	entailment
167	entailment
168	entailment
169	entailment
170	contradiction
171	contradiction
172	entailment
173	entailment
174	neutral
175	entailment
176	contradiction
177	entailment
178	entailment
179	entailment
180	contradiction
181	entailment
182	neutral
183	neutral
184	contradiction
185	contradiction
186	entailment
187	entailment
188	entailment
189	entailment
190	entailment
191	neutral
192	entailment
193	entailment
194	neutral
195	contradiction
196	neutral
197	entailment
198	entailment
199	neutral
200	neutral
201	entailment
202	entailment
203	contradiction
204	entailment
205	entailment
206	entailment
207	contradiction
208	entailment
209	entailment
210	neutral
211	contradiction
212	neutral
213	neutral
214	entailment
215	neutral
216	entailment
217	neutral
218	entailment
219	entailment
220	neutral
221	contradiction
222	entailment
223	entailment
224	entailment
225	entailment
226	contradiction
227	contradiction
228	contradiction
229	contradiction
230	contradiction
231	neutral
232	contradiction
233	entailment
234	contradiction
235	entailment
236	neutral
237	entailment
238	contradiction
239	entailment
240	entailment
241	entailment
242	entailment
243	entailment
244	contradiction
245	entailment
246	entailment
247	contradiction
248	entailment
249	contradiction
250	entailment
251	entailment
252	entailment
253	contradiction
254	entailment
255	entailment
256	entailment
257	entailment
258	neutral
259	entailment
260	neutral
261	contradiction
262	entailment
263	contradiction
264	contradiction
265	entailment
266	contradiction
267	entailment
268	entailment
269	contradiction
270	neutral
271	entailment
272	entailment
273	entailment
274	contradiction
275	entailment
276	contradiction
277	entailment
278	contradiction
279	neutral
280	neutral
281	contradiction
282	entailment
283	entailment
284	entailment
285	neutral
286	entailment
287	entailment
288	contradiction
289	neutral
290	neutral
291	contradiction
292	contradiction
293	entailment
294	entailment
295	neutral
296	neutral
297	entailment
298	entailment
299	neutral
300	contradiction
301	entailment
302	neutral
303	contradiction
304	neutral
305	entailment
306	contradiction
307	entailment
308	entailment
309	neutral
310	contradiction
311	neutral
312	neutral
313	entailment
314	entailment
315	entailment
316	contradiction
317	entailment
318	entailment
319	contradiction
320	contradiction
321	contradiction
322	contradiction
323	entailment
324	entailment
325	entailment
326	entailment
327	entailment
328	neutral
329	entailment
330	contradiction
331	entailment
332	contradiction
333	entailment
334	entailment
335	entailment
336	entailment
337	neutral
338	neutral
339	entailment
340	contradiction
341	entailment
342	entailment
343	entailment
344	contradiction
345	contradiction
346	neutral
347	entailment
348	entailment
349	entailment
350	entailment
351	entailment
352	contradiction
353	neutral
354	neutral
355	contradiction
356	entailment
357	neutral
358	entailment
359	entailment
360	entailment
361	contradiction
362	contradiction
363	entailment
364	contradiction
365	contradiction
366	contradiction
367	entailment
368	contradiction
369	neutral
370	entailment
371	entailment
372	contradiction
373	entailment
374	contradiction
375	neutral
376	contradiction
377	entailment
378	contradiction
379	neutral
380	entailment
381	neutral
382	neutral
383	entailment
384	entailment
385	contradiction
386	entailment
387	contradiction
388	neutral
389	entailment
390	entailment
391	contradiction
392	contradiction
393	neutral
394	neutral
395	neutral
396	contradiction
397	entailment
398	contradiction
399	entailment
400	entailment
